Build Name,Position,Height,Weight,Close Shot,Driving Layup,Driving Dunk,Standing Dunk,Post Control,Midrange Shot,Threepoint Shot,Free Throw,Pass Accuracy,Ball Handle,Speed With Ball,Interior Defense,Perimeter Defense,Steal,Block,Offensive Rebound,Defensive Rebound,Speed,Agility,Strength,Vertical
2-Way Blow-By Dual Finisher,Point Guard,"6'3""",213,73,88,87,32,34,73,78,77,84,86,91,43,91,85,41,37,60,91,83,73,75
2-Way Blow-By High Flyer,Point Guard,"6'4"" to 6'6""",180-210,66-78,75-81,86-93,37-64,44-60,80,75-83,58-77,67-85,86-90,85-86,67-83,91-92,77-79,55-69,37-70,55-63,86-89,74-84,57-73,75-80
2-Way Bully Laymaking Cleaner,Point Guard,"6'7""",230,80,90,47,32,77,68,78,70,85,86,81,60,85,60,74,55,80,85,83,84,77
2-Way Crafty 3-Level Dimer,Point Guard,"6'7""",180,77,85,77,48,80,87,85,78,91,81,80,71,85,60,45,72,78,80,78,72,72
2-Way Crafty Mid-Range Slasher,Point Guard,"6'6""",210,77,85,87,37,41,92,80,88,76,86,80,60,85,73,75,25,50,83,80,71,75
2-Way Disruptive High Flyer,Point Guard,"6'7""",203,73,80,89,40,43,71,81,81,39,64,65,80,92,85,87,37,62,90,88,78,80
2-Way High-Flying Dime Dropper,Point Guard,"6'7""",189,74,75,94,49,52,34,25,45,92,82,83,80,94,80,84,77,80,83,80,73,88
2-Way High-Flying Slasher,Point Guard,"6'6""",185-205,73-84,73-81,87-93,37-43,40-48,70-75,80-83,55-79,75-85,85-90,75-80,50-73,85-95,61-85,45-74,30-74,55-75,80-91,76-83,51-64,70-85
2-Way Inside-Out Bully Slasher,Point Guard,"6'5""",230,74,85,92,38,40,77,85,89,76,86,86,60,85,73,68,32,55,86,80,85,80
2-Way Inside-Out Creator,Point Guard,"6'0"" to 6'5""",199-205,83-89,80-84,74-89,25,39-85,80-83,83-92,70-78,74-85,82-92,86-91,49-50,88-92,59-85,39-42,36-62,44-52,88-91,79-80,73-75,65-73
2-Way Inside-Out Dime-Dropper,Point Guard,"6'6""",225,65,71,83,40,40,80,89,99,90,84,75,49,90,79,68,44,68,85,83,73,75
2-Way Inside-Out Playmaker,Point Guard,"6'2"" to 6'6""",175-218,70-80,75-90,25-95,25-50,26-42,75-85,85-94,75-99,86-94,82-92,78-88,35-61,80-91,55-94,33-68,25-71,40-56,85-88,80-90,45-85,58-81
2-Way Inside-Out Scorer,Point Guard,"6'7""",205,80,90,90,40,40,75,85,63,77,80,72,80,85,60,64,47,72,86,80,60,82
2-Way Inside-Out Slasher,Point Guard,"6'4"" to 6'5""",175-203,73-81,85-90,89-96,35-45,36-43,79-82,85-90,63-88,71-85,86-93,86-88,35-51,85-90,55-73,35-50,25-30,45-50,86-88,77-83,46-73,70-85
2-Way Iso Sniper,Point Guard,"6'1"" to 6'7""",168-224,70-80,70-85,25-81,25-48,25-67,85-94,87-99,65-99,60-85,81-94,80-91,35-78,82-93,55-95,32-74,25-65,40-58,85-92,76-90,42-71,55-77
2-Way Iso-Sniping Cleaner,Point Guard,"6'7""",219,76,71,57,31,46,91,89,99,85,86,80,55,90,61,46,55,80,85,83,73,75
2-Way Mid-Paint Maestro Bully,Point Guard,"6'7""",215,84,94,73,25,50,87,83,84,91,81,75,60,85,60,74,25,49,85,77,85,65
2-Way Mid-Paint Playmaker,Point Guard,"6'4""",212,80,91,25,25,80,94,70,76,87,86,86,55,87,85,37,40,47,86,85,85,56
2-Way Mid-Post Creator,Point Guard,"6'4""",230,82,70,89,65,87,90,85,75,78,85,75,82,88,80,70,78,82,85,80,85,82
2-Way Mid-Post High Flyer,Point Guard,"6'6""",230,84,71,91,41,87,90,80,66,55,80,84,77,85,55,74,47,57,85,86,86,80
2-Way Mid-Post Playmaker,Point Guard,"6'7""",230,89,73,29,26,92,93,62,82,88,88,81,49,94,64,49,55,54,85,83,69,55
2-Way Mid-Post Scorer,Point Guard,"6'7""",180,90,90,79,75,80,87,81,65,70,70,70,89,88,70,68,51,69,91,76,69,61
2-Way Mid-Range High Flyer,Point Guard,"6'3"" to 6'6""",180-225,72-78,71-80,75-93,25-40,31-80,87-92,80-85,64-99,65-84,85-92,85-91,35-78,85-92,55-85,35-74,25-77,45-74,86-91,71-87,50-87,75-87
2-Way Mid-Range Menace,Point Guard,"6'3"" to 6'7""",195-205,75-78,73-88,54-80,35-40,39-70,87-93,80-83,64-86,71-79,86-88,75-90,47-79,85-88,73-87,63-78,33-74,45-59,85-93,77-85,58-80,60-82
2-Way Mid-Range Slasher,Point Guard,"6'2"" to 6'7""",180-230,74-85,70-93,73-93,27-43,30-62,85-95,60-84,65-99,61-85,81-90,75-86,40-70,85-92,60-88,40-79,25-70,50-75,80-90,70-86,50-75,60-80
2-Way Middy Playmaker,Point Guard,"6'7""",205,77,80,80,40,45,86,80,70,95,85,81,72,86,80,43,36,57,81,82,61,65
2-Way Off-Screen Shooter,Point Guard,"5'10"" to 6'7""",180-219,74-81,56-81,25-70,25-30,25-55,89-96,85-99,71-93,35-82,60-82,65-82,49-70,87-96,72-96,42-78,26-39,50-64,85-91,85-91,60-85,55-74
2-Way Physical Laymaker,Point Guard,"6'7""",207,83,93,70,30,51,66,75,50,82,90,82,60,90,61,46,27,50,90,79,85,75
2-Way Playmaking Bully Creator,Point Guard,"6'3""",213,90,80,25,25,32,85,94,75,90,86,80,76,85,81,47,41,58,85,78,84,60
2-Way Playmaking Creator,Point Guard,"6'2"" to 6'7""",196-215,75-80,70-75,30-80,25-30,29-50,87-93,85-97,65-75,87,85-90,75-85,45-70,85-95,60-81,35-75,25-37,45-55,85-90,85,62-75,55-65
2-Way Playmaking Slasher,Point Guard,"6'6""",205,84,85,82,52,53,80,80,76,92,90,76,43,87,73,44,57,57,81,80,68,71
2-Way PlaySlash Bully,Point Guard,"6'4""",230,72,77,87,40,43,80,80,84,87,82,86,56,91,79,42,34,51,87,87,85,87
2-Way Sharpshooter,Point Guard,"6'7""",192,77,66,75,40,41-51,92,90,67,71,81,83,47-56,91-92,73,47,67-68,57,89,84,72,60
2-Way Tempo-Pushing Crasher,Point Guard,"6'7""",222,73,75,80,72,50,75,80,73,84,86,80,82,85,55,84,80,65,85,85,85,77
3 & D Dime Dropper,Point Guard,"6'4""",200,65,75,75,25,40,80,90,67,92,86,86,49,88,89,38,26,48,90,90,48,60
3-Level Scorer,Point Guard,"6'4"" to 6'7""",192-215,74-91,75-94,82-94,43-68,25-73,85-93,87-93,70-99,75-85,75-83,75-82,29-53,60-82,40-73,31-71,26-72,37-74,84-90,71-85,50-64,74-94
3PT High-Flying Ball Hawk,Point Guard,"6'3"" to 6'6""",198-205,74-77,80,87-92,41-51,31-55,80-83,89-93,81-99,65-85,82,75-80,52-74,81-83,85-96,45-55,60-66,51-70,85,77-80,71-73,77-89
3PT Shot Hunter,Point Guard,"6'2"" to 6'4""",165-221,68-80,76-80,27-80,25-51,34-72,80-84,88-94,63-83,71-85,82-94,87-93,30-67,64-84,63-80,25-65,25-62,32-65,89-93,77-90,30-80,63-84
3PT-Sniping Creator,Point Guard,"6'1"" to 6'5""",169-200,74-80,85-94,26-81,25-30,37-46,80-84,90-92,70-79,80-85,92-93,86-91,33-37,67-80,53-82,25-30,25-34,29-53,89-91,74-92,40-57,60-70
Aerial Playmaker,Point Guard,"6'3""",200,82,80,94,39,31,78,80,55,89,86,89,62,77,47,41,44,60,93,89,70,86
Ankle Snatcher,Point Guard,"6'3""",175,72,85,87,32,40,75,85,76,85,95,91,28,74,73,30,25,36,91,80,37,75
Ankle Taker,Point Guard,"5'9"" to 6'7""",165-220,70-99,85-99,25-81,25-62,30-60,85-95,89-99,67-99,67-85,84-95,80-94,25-76,59-82,30-79,25-60,25-53,35-62,85-94,75-89,34-76,56-76
Athletic High Flyer,Point Guard,"6'5""",210,71,85,90,36,35,85,85,82,85,85,85,45,80,50,40,45,70,90,85,50,85
Ball-Hawking 3 & D Point,Point Guard,"6'6""",188,70,68,81,32,40,83,90,80,84,83,82,62,92,91,47,32,52,84,81,59,68
Ball-Hawking 3-Level Creator,Point Guard,"6'2"" to 6'7""",169-200,70-81,71-86,71-91,25-41,29-48,85-96,89-96,70-99,60-85,84-92,77-91,42-60,72-85,85-94,25-58,25-39,33-46,80-91,71-86,40-78,65-84
Ball-Hawking 3-Level Scorer,Point Guard,"6'2""",175,79,74,84,46,25,89,99,76,82,81,80,49,70,90,41,25,36,82,75,45,75
Ball-Hawking 3PT Shot Hunter,Point Guard,"6'1"" to 6'5""",160-195,69-76,77-83,25-80,25-45,32-43,81-84,90-94,66-95,69-85,88-95,86-94,40-55,70-83,85-91,25-52,25-28,35-46,90-95,80-90,30-50,61-78
Ball-Hawking 3PT Slasher,Point Guard,"6'2"" to 6'7""",165-209,66-80,70-84,83-93,28-60,26-79,79-85,85-94,60-96,65-85,81-93,80-94,40-70,63-85,85-92,25-70,25-64,35-75,80-94,68-90,39-85,65-89
Ball-Hawking 3PT Sniper,Point Guard,"6'4""",215,80,81,80,62,46,82,85,79,80,82,80,54,78,91,44,52,60,95,81,80,80
Ball-Hawking Iso Sniper,Point Guard,"6'1"" to 6'6""",160-200,70-79,72-82,25-80,25-45,25-45,85-94,89-97,67-99,70-85,85-95,85-91,40-58,68-83,85-94,25-61,25-35,31-60,85-92,75-88,33-73,56-80
Ball-Hawking Mid-Range Menace,Point Guard,"6'6""",205,75,75,80,35,50,90,83,74,75,90,85,55,83,90,37,27,43,90,80,50,60
Ball-Hawking Middy High Flyer,Point Guard,"6'5"" to 6'6""",190-195,72-79,75-80,89-93,38-39,38-40,87-94,80-83,62-69,60-63,85-88,84-86,45-60,80-83,85-91,40-71,29-31,46-48,86-90,78-80,50-60,80-85
Ball-Hawking Middy Slasher,Point Guard,"6'7""",180,77,77,84,34,46,92,83,70,74,86,80,50,84,85,68,26,46,85,80,50,77
Ball-Hawking PlayShot,Point Guard,"6'2"" to 6'4""",165-203,61-80,73-85,25-79,25-27,31-40,76-91,86-96,66-99,84-92,87-92,86-89,35-64,72-85,80-99,30-40,25-39,44-60,88-91,74-92,40-70,58-61
Ball-Hawking PlaySlash,Point Guard,"6'6""",200,72,87,90,40,40,78,83,58,90,85,85,52,63,87,35,25,45,88,85,52,80
Ball-Hawking Sharpshooter,Point Guard,"6'2""",193,84,65,48,37,40,99,99,88,60,80,70,66,73,85,58,30,46,70,63,51,75
Ball-Hawking Slasher,Point Guard,"6'7""",182,70,72,84,46,47,74,77,73,77,86,70,54,72,86,74,66,73,91,83,75,90
Big Glide,Point Guard,"6'7""",207,75,85,87,85,50,73,83,79,85,90,80,65,74,73,35,60,60,81,77,73,75
Blow-By Dual Finisher,Point Guard,"6'4""",215,77,88,91,59,52,73,83,95,82,90,87,50,65,80,35,31,47,93,80,79,80
Blow-By High Flyer,Point Guard,"6'4"" to 6'6""",180-220,73-84,80-81,88-99,38-50,40-45,78-82,80-83,67-85,66-80,85-90,85-89,46-62,60-80,35-80,42-70,25-50,45-70,85-92,80-95,48-76,80-95
Cash Out,Point Guard,"6'2""",175,74,85,25,28,30,89,99,78,76,90,86,25,74,60,25,25,35,86,76,35,56
Catch & Shoot 3PT Sniper,Point Guard,"6'5""",203,67,75,77,38,30,80,90,81,77,80,81,67,82,52,43,72,74,96,81,47,88
Clamp Thief,Point Guard,"6'6""",223,72,58,65,50,47,73,83,58,67,72,77,70,95,91,75,35,60,92,88,80,77
Crafty 3-Level Scorer,Point Guard,"6'4""",200,85,88,70,45,65,90,89,79,83,81,82,61,81,80,64,66,71,84,81,65,70
Crafty Inside-Out Creator,Point Guard,"6'7""",206,81,88,90,81,46,80,90,75,85,86,81,49,55,60,68,32,43,84,74,67,80
Crafty Iso Savant,Point Guard,"5'9""",163,89,97,75,25,44,95,99,99,70,92,82,33,52,48,31,47,58,82,74,55,65
Crafty Iso Sniper,Point Guard,"6'3""",209,87,79,80,43,66,90,88,78,82,92,82,61,74,73,68,72,72,82,73,77,77
Crafty Offensive Engine,Point Guard,"6'3"" to 6'7""",190-200,85-93,93-95,70-87,26-51,45-75,88-93,85-93,81-93,94-95,89-90,80-84,25-50,54-75,25-50,29-33,36-39,33-60,80-84,69-75,49-75,51-74
Crafty Playmaking Slasher,Point Guard,"6'7""",205,99,79,98,49,49,72,79,97,99,89,69,29,41,26,34,56,42,70,57,54,78
Crafty Post Playmaker,Point Guard,"6'7""",200-225,84,85,73-75,72,87,80,80-82,76-78,92,86,75,65,74,73,73,70,60,80,80,76-79,66
Crafty Sharpshooter,Point Guard,"6'1""",180,90,69,69,25,63,99,99,76,59,77,82,53,58,53,56,49,58,82,67,57,58
Defensive Playmaker,Point Guard,"6'1"" to 6'3""",170-185,73-78,85-93,25,25,30-34,76-77,83-85,58-65,90-95,88-90,89-91,48-57,85-91,90-93,35-41,25-40,47-65,91,80-89,46-47,61
Diming Inside-Out Scorer,Point Guard,"6'6""",184,71,72,85,36,40,85,87,71,88,85,81,50,85,85,44,31,52,87,81,71,76
Diming Sharpshooter,Point Guard,"6'3""",198,80,80,25,28,45,90,98,74,84,80,80,73,80,80,59,62,62,84,75,56,54
Dot Dispenser,Point Guard,"6'3""",225,72,85,87,33,33,79,89,80,95,86,86,54,74,73,30,25,35,88,80,84,75
Edge Enforcer,Point Guard,"6'7""",190,68,50,57,26,25,81,77,64,70,61,66,73,95,97,78,70,85,91,81,60,61
Edge-Enforcing Iso Sniper,Point Guard,"6'7""",205,80,75,76,30,50,90,88,68,75,85,75,70,85,80,78,60,80,82,80,75,65
Explosive 2-Way 3PT Creator,Point Guard,"6'2""",218,65,75,50,36,30,79,89,99,85,85,88,74,92,85,65,64,63,89,88,85,85
Gritty 3PT Slasher,Point Guard,"6'6""",195,73,75,93,72,45,75,85,60,65,90,80,81,80,70,75,74,70,80,81,73,80
Gritty Blow-By High Flyer,Point Guard,"6'6""",196,73,78,87,37,41,76,83,58,76,86,85,80,85,55,80,70,80,87,87,72,80
Gritty Power Slasher,Point Guard,"6'7""",218,80,90,87,37,47,73,81,56,71,87,81,82,80,73,57,40,62,85,75,82,75
High-Flying Mid-Range Slasher,Point Guard,"6'2"" to 6'5""",193-230,74-77,85,85-87,32-35,32-39,89-92,85,69-79,77-81,87-92,81-85,40-59,78-85,60-85,37-46,31-36,45-48,87-88,77-91,70-84,75-82
High-Flying Slasher,Point Guard,"6'4""",203,80,75,95,44,35,70,80,72,60,85,82,35,67,44,54,44,60,97,89,50,99
Inside-Out Ball Hawk,Point Guard,"6'6""",201,73,88,88,38,35,77,87,63,60,80,80,60,75,90,70,58,60,90,78,65,85
Inside-Out Crafty Slasher,Point Guard,"6'6"" to 6'7""",194-210,72-75,85-86,87,37-64,51-72,80-82,90,65,80-84,87-90,77-79,44-49,73-77,79-80,32-50,27-33,42-57,80,75-82,67-74,75-78
Inside-Out High-Flying Slasher,Point Guard,"6'1"" to 6'7""",160-230,67-85,70-86,80-99,28-74,32-76,75-85,85-94,61-99,62-85,83-95,76-93,25-80,58-85,33-85,29-74,25-74,32-80,80-95,71-93,37-85,66-90
Inside-Out Playmaker,Point Guard,"6'1"" to 6'4""",160-200,71-82,85-90,25-93,25-38,29-46,80-84,86-94,80-99,86-96,84-96,86-91,25-45,58-80,28-85,25-48,25-26,28-43,86-91,73-86,33-75,58-80
Inside-Out Slasher,Point Guard,"6'3"" to 6'7""",175-224,73-84,85-95,87-99,32-45,34-60,77-84,85-93,61-95,64-85,84-93,76-92,25-60,56-80,35-80,31-66,25-60,38-65,85-92,73-90,46-76,75-90
Inside-Out-Slashing Cleaner,Point Guard,"6'7""",205,74,80,90,40,51,77,87,81,66,85,82,70,80,63,66,74,81,90,78,50,75
Iso Savant,Point Guard,"6'1"" to 6'7""",165-220,70-88,70-96,80-96,25-67,27-65,84-98,85-97,62-99,60-85,85-96,75-91,25-75,50-85,32-85,25-70,25-54,26-70,75-95,63-94,35-75,65-88
Iso Sniper,Point Guard,"6'1"" to 6'7""",164-205,70-84,72-84,25-81,25-53,31-51,85-95,88-99,68-94,65-85,85-96,78-91,25-60,57-82,32-80,25-61,25-60,27-61,85-95,72-90,26-73,58-95
Mid-Paint Scorer,Point Guard,"6'6"" to 6'7""",205-206,79-88,86-87,92,42-44,74-76,89,80-83,64-78,76-80,73-75,75-78,40-55,74-79,65-71,35-55,45-53,41-51,85-90,81-82,63-72,78-84
Mid-Range High Flyer,Point Guard,"6'2"" to 6'6""",165-210,73-77,75-80,87-93,32-46,26-48,87-92,80-85,64-86,70-85,86-93,85-91,39-69,74-85,62-85,35-74,25-50,43-60,85-91,71-88,46-73,69-80
Mid-Range Slasher,Point Guard,"6'2"" to 6'6""",180-216,75-78,85-93,89-93,38-55,30-50,89-92,83-84,72-79,71-76,85-90,85-91,25-50,74-75,65-80,35-52,25-26,41-44,86-91,81-87,43-75,78-80
Mid-Range Slashing Cleaner,Point Guard,"6'4""",220,76,80,91,38,36,89,83,64,84,86,86,65,82,52,71,76,80,86,75,82,90
Mr. Two Way,Point Guard,"6'2""",200,75,85,87,32,26,85,87,80,85,86,91,46,85,91,35,28,45,91,80,73,75
Offensive Engine,Point Guard,"6'7""",181,77,86,73,40,60,85,92,85,91,90,75,54,74,67,50,60,73,75,74,51,83
Physical 2-Way 3PT Slasher,Point Guard,"6'3"" to 6'4""",217-221,69-82,74-80,81-93,29-39,30-43,77-84,87-94,62-84,71-85,83-93,85-86,55-65,85-92,62-85,42-68,27-61,45-59,85-86,76-89,83-87,65-89
Physical 2-Way Iso Sniper,Point Guard,"6'3"" to 6'5""",220-225,70-75,75-81,25-73,25-26,36-40,85,95,70-83,71-82,86-90,77-91,57-60,85,55-60,36-40,25,45-50,85-91,83-88,85,61-65
Physical 2-Way Middy Slasher,Point Guard,"6'6""",230,78,80,80,37,45,86,77,84,82,86,75,64,90,85,74,27,50,82,83,85,70
Physical 2-Way Tempo Pusher,Point Guard,"6'6""",212,55,70,75,25,44,70,80,56,60,85,80,60,96,90,70,38,57,91,90,84,61
Physical Inside-Out Creator,Point Guard,"6'6"" to 6'7""",205-215,82-87,80-86,87,37,48-87,80,87-88,76-85,76-80,86-87,80-81,59,77,47-75,36-76,29-50,44-60,82-86,79-80,83-84,75-81
Physical Inside-Out Slasher,Point Guard,"6'5""",215,75,85,60,45,40,83,93,86,82,86,86,60,74,60,40,50,60,86,79,85,75
Physical Iso Sniper,Point Guard,"6'7""",205,75,76,70,27,54,90,92,70,76,91,71,64,75,79,36,55,56,90,75,88,62
Physical Lockdown Defender,Point Guard,"6'7""",207,58,55,75,30,47,73,83,65,60,60,65,82,94,94,84,37,62,90,87,82,75
Physical Mid-Range High Flyer,Point Guard,"6'4""",220,84,77,89,63,43,92,83,97,84,90,86,54,74,60,36,25,43,86,80,83,77
Physical Mid-Range Menace,Point Guard,"6'4"" to 6'7""",212-228,84,90-96,30-65,26-28,53,87-93,80-83,63-80,80-83,86-90,81-83,60-69,68-80,39-79,35-39,26-69,40-71,83-90,80,84-93,60-72
Physical Offensive Engine,Point Guard,"6'7""",205,80,90,40,26,79,93,90,91,92,86,80,59,74,44,29,39,60,80,80,84,70
Playmaker,Point Guard,"6'6""",195,76,90,75,26,44,71,81,75,95,87,86,57,80,73,31,33,46,86,84,75,65
Playmaking 3-Level Ball Hawk,Point Guard,"6'4""",200,72,85,87,34,40,85,87,83,91,90,80,49,84,89,34,25,45,84,82,50,75
Playmaking 3PT Creator,Point Guard,"6'3"" to 6'7""",190-230,69-78,71-80,60-80,25-36,31-79,80-84,89-94,73-99,86-94,82-94,80-91,25-50,62-82,43-78,25-55,25-70,41-61,85-92,71-88,34-73,57-80
Playmaking 3PT Slasher,Point Guard,"6'3"" to 6'5""",198-220,70-80,70-85,85-93,32-40,33-41,78-84,85-94,65-90,86-90,85-90,82-90,30-60,64-85,40-82,33-63,25-60,39-60,87-95,80-90,45-82,76-88
Playmaking Shot Creator,Point Guard,"6'2"" to 6'5""",165-203,70-79,75-85,25-80,25-32,30-45,85-94,90-94,74-99,88-92,89-92,88-91,31-38,75-82,52-76,32-35,25-29,41-45,89-91,75-81,42-65,60-62
Playmaking Slasher,Point Guard,"6'4""",205,81,83,84,62,41,84,83,96,86,91,84,36,81,51,35,25,41,94,79,66,80
PlaySlash Board Enforcer,Point Guard,"6'7""",230,80,80,87,37,45,70,78,84,90,85,75,80,74,73,78,81,85,85,83,71,74
Post Creator,Point Guard,"6'3""",198,86,96,94,51,80,63,73,72,65,90,87,57,67,55,51,53,43,97,82,70,79
Shot-Erasing 3PT Slasher,Point Guard,"6'6""",195,74,80,94,44,43,75,85,60,77,88,86,60,82,52,78,28,53,86,77,65,80
Shot-Erasing Power Finisher,Point Guard,"6'6""",220,74,85,75,75,45,80,83,75,85,81,80,74,80,79,78,75,65,85,85,84,75
Speedy Offensive Engine,Point Guard,"6'2"" to 6'7""",184-203,70-83,71-90,77-90,28-62,32-74,85-89,88-95,70-99,86-94,86-93,74-90,28-74,55-80,40-74,30-59,25-52,35-54,85-91,77-84,40-70,65-80
The Guard Dog,Point Guard,"6'7""",214,70,80,80,45,50,73,83,67,71,86,75,70,92,91,74,60,60,82,80,85,65
Thieving Inside-Out Creator,Point Guard,"6'1"" to 6'2""",165-198,77-93,85-93,70-89,31-42,33-37,84,94,70-71,69-70,92-94,86,45-57,70-80,90-91,38-50,33-34,43-54,88-90,77-78,48-60,70-75
Thieving Inside-Out Playmaker,Point Guard,"6'2"" to 6'4""",180-205,71-81,75-93,25-93,25-41,30-43,75-84,85-93,65-99,80-95,86-92,80-91,45-54,74-84,85-94,25-66,25-36,35-44,84-91,70-85,40-60,56-80
Thieving Inside-Out Slasher,Point Guard,"6'2"" to 6'5""",169-208,70-86,85-87,87-96,34-60,34-43,77-83,87-93,62-76,60-85,85-94,81-87,41-60,74-82,85-92,31-68,25-41,35-45,85-90,72-82,45-73,70-82
Versatile Paint Bully,Point Guard,"6'2"" to 6'5""",206-220,70-73,70-91,87-88,33-45,33-39,85-86,95-96,85-86,70-82,84-92,86,59-63,80-82,50-73,32-34,25-26,42-43,86,71-77,84-93,68-75
Versatile Playmaking Slasher,Point Guard,"6'7""",208,89,99,87,37,51,76,41,51,99,91,71,39,72,60,31,30,38,80,65,64,75
Versatile Scorer,Point Guard,"6'7""",211,85,77,90,91,48,87,90,65,84,87,80,25,60,41,42,26,49,90,86,47,81
