Build Name,Position,Height,Weight,Close Shot,Driving Layup,Driving Dunk,Standing Dunk,Post Control,Midrange Shot,Threepoint Shot,Free Throw,Pass Accuracy,Ball Handle,Speed With Ball,Interior Defense,Perimeter Defense,Steal,Block,Offensive Rebound,Defensive Rebound,Speed,Agility,Strength,Vertical
2-Way Blow-By Bulldozer,Power Forward,"6'8""",239,73,73,93,66,59,41,35,66,85,86,76,80,92,62,88,38,63,85,80,91,82
2-Way Blow-By Bully,Power Forward,"6'8""",232-243,55-65,62-71,25-70,30-40,56-58,70-71,80-81,56-60,71-85,73-86,75-76,71-88,85-92,95-96,42-60,45-80,70-80,80-85,79-80,91,50-56
2-Way Blow-By Dual Finisher,Power Forward,"6'6"" to 6'8""",257-265,75-80,90,87-91,41-65,51-80,77-79,39-83,52-61,50-85,75-85,75,80-90,85,56-79,68-80,45-70,60-70,84-90,77-83,85-91,75-83
2-Way Blow-By Rim Rocker,Power Forward,"6'7"" to 6'9""",210-244,70-80,75-80,87-95,53-80,50-80,70-80,80,55-71,70-80,70-87,70-80,60-85,70-85,49-85,80-88,70-80,70-82,75-83,70-82,70-80,80-91
2-Way Break-Starting Popper,Power Forward,"6'8""",239,74,81,75,44,57,89,84,65,91,71,52,85,80,50,80,66,91,80,77,91,75
2-Way Bulldozer,Power Forward,"6'9"" to 6'10""",237-240,75-79,79-80,89-93,64-81,60-80,80,80,55-57,52-71,59-77,54-66,82-88,72-85,43-67,58-84,55,80,72-81,68-77,91-95,80-83
2-Way Bulldozer Cleaner,Power Forward,"6'7""",270,76,67,87,81,55,75,80,55,37,62,63,70,82,85,79,80,95,88,74,90,85
2-Way Bulldozing Cleaner,Power Forward,"6'7"" to 6'8""",245-270,71-81,66-78,85-98,57-81,53-62,35-72,25-80,43-91,48-87,60-73,54-63,70-90,61-85,48-85,74-85,64-85,85-96,80-88,70-77,85-91,80-95
2-Way Crafty 3-Level Cleaner,Power Forward,"6'10""",248,87,70,75,75,92,90,85,80,80,55,60,90,45,73,71,75,90,65,66,75,75
2-Way Crafty 3-Level Crasher,Power Forward,"6'10"" to 7'0""",211-241,86-89,70-89,78-87,72-82,81-87,82-91,82-90,64-73,70-76,59-74,61-63,85-89,45-50,44-50,78-86,83-85,83-84,70-74,57-71,75-85,77-80
2-Way Crafty 3-Level Dimer,Power Forward,"6'11"" to 7'0""",213-217,88-92,80-93,46-85,50-80,76-93,86-93,83-90,70-93,87-90,70-75,60-68,84-87,48-71,42-67,74-93,55-75,75-80,75-79,67-72,70-79,60-85
2-Way Crafty 3-Level Scorer,Power Forward,"6'10"" to 7'0""",210-260,88-89,85-93,85-87,80-94,63-87,93-94,89-90,70-92,25-71,49-74,40-65,80-87,69-78,43-70,70-88,43-80,67-80,73-79,65-73,72-83,79-82
2-Way Crafty Mid-Paint Phenom,Power Forward,"6'11""",235,87,85,73,90,87,82,80,58,71,45,35,85,71,48,93,70,85,75,60,83,74
2-Way Crafty Mid-Post Crasher,Power Forward,"6'11""",235,88,63,70,90,90,93,80,68,82,71,61,88,43,56,84,85,80,65,50,84,67
2-Way Crafty Mid-Post Creator,Power Forward,"6'9""",248,92,70,73,81,87,92,75,68,70,80,70,82,74,44,74,80,80,75,71,86,70
2-Way Crafty Versatile Scorer,Power Forward,"6'11""",218,87,69,80,79,86,89,90,66,84,75,67,85,72,50,78,61,82,74,63,80,80
2-Way Crafty Walking Bucket,Power Forward,"6'11""",222,81,80,87,81,86,85,90,65,55,75,66,88,75,48,79,58,83,77,70,88,75
2-Way Faceup Lob Threat,Power Forward,"6'8""",219,82,62,82,90,82,86,82,70,52,75,71,91,72,70,80,72,80,80,75,75,80
2-Way Faceup Rising Cleaner,Power Forward,"6'7""",270,74,71,74,84,77,89,80,65,71,86,75,82,80,79,84,75,85,79,71,84,74
2-Way Inside-Out,Power Forward,"6'10""",210,71,70,90,60,53,81,91,81,89,78,71,81,80,50,88,78,79,80,76,70,78
2-Way Inside-Out Bully Dimer,Power Forward,"6'11""",250,76,70,85,70,55,81,89,65,87,60,61,88,72,43,88,85,75,72,62,90,80
2-Way Inside-Out Bully Slasher,Power Forward,"6'10""",248,78,88,89,60,77,81,91,66,75,78,66,85,50,55,74,85,76,74,68,90,75
2-Way Inside-Out Crasher,Power Forward,"7'0""",237,81,84,84,82,80,75,83,80,67,45,50,87,62,62,86,87,86,72,61,93,71
2-Way Inside-Out Creator,Power Forward,"6'7"" to 6'10""",210-243,77-89,72-90,50-94,38-96,45-87,72-80,82-87,58-80,55-82,75-90,63-80,64-94,59-88,49-80,51-84,60-82,77-89,75-89,68-82,60-91,75-88
2-Way Inside-Out Dime-Dropper,Power Forward,"7'0""",228-269,75-80,59-60,73-75,90,54-80,72-80,82-90,65,87-88,52-70,30-49,83-88,62,60,78-93,91-94,80-84,65-70,50-63,83,79-83
2-Way Inside-Out Point Four,Power Forward,"6'9"" to 6'11""",210-248,74-86,70-96,74-93,58-75,50-80,75-80,81-90,62-80,85-90,75-78,62-72,70-85,45-80,46-80,63-93,71-88,65-80,75-80,68-75,61-82,77-89
2-Way Inside-Out Scorer,Power Forward,"7'0""",225,90,92,84,84,84,80,90,67,70,74,63,85,62,53,81,56,80,74,64,87,86
2-Way Inside-Out Slasher,Power Forward,"6'7"" to 6'10""",210-247,73-81,83-90,87-93,40-81,40-80,75-80,84-88,61-83,71-85,75-91,70-76,67-87,51-85,46-81,65-88,33-78,51-85,79-85,70-78,63-85,77-88
2-Way Iso Savant,Power Forward,"6'7"" to 6'11""",210-243,74-85,75-79,83-87,48-80,53-60,82-89,85-92,60-70,65-75,75-86,68-80,85,68-76,40-70,75-78,59-79,80-82,79-85,73-77,80-83,76-90
2-Way Mid-Paint Break Starter,Power Forward,"6'10""",210,84,75,89,82,75,80,80,80,87,60,60,74,83,73,74,75,85,80,75,72,80
2-Way Mid-Paint Bully,Power Forward,"6'10""",225,92,80,95,65,81,82,50,70,65,67,60,90,82,52,88,55,80,70,65,85,80
2-Way Mid-Paint Cleaner,Power Forward,"6'7"" to 6'9""",235-263,72-80,69-90,60-89,40-82,43-51,83-89,79-80,58-99,39-80,64-81,60-70,70-93,65-91,48-85,78-84,67-71,85-95,80-85,75-80,78-85,51-80
2-Way Mid-Paint Crasher,Power Forward,"6'11""",251,77,75,89,72,61,82,80,60,71,52,34,88,42,76,88,92,83,71,61,91,80
2-Way Mid-Paint Creator,Power Forward,"6'9""",210,75,75,93,72,46,85,80,77,75,75,68,70,85,60,78,80,80,80,80,73,83
2-Way Mid-Paint Point Four,Power Forward,"6'9""",240-251,79-87,65-88,60-73,40-81,55-80,86-89,77-83,64-85,87,80,69-70,67-88,62-84,60-73,74,70-87,73-92,70-81,55-77,73-91,66-77
2-Way Mid-Paint Scorer,Power Forward,"6'10"" to 6'11""",211-240,84-85,73-90,89-93,72-90,79-80,80-82,70-80,66-80,70-71,70,65-68,88,60-62,43-75,85-88,55-59,80-83,70-79,70-73,73-84,80-82
2-Way Mid-Post Creator,Power Forward,"6'7"" to 6'10""",210-241,74-82,71-75,91-94,77-81,78-87,83-92,70-80,60-68,53-55,76-80,70-75,80-84,83-85,55-60,74-88,46-60,70,80,76-80,76-82,80-85
2-Way Mid-Range Menace,Power Forward,"6'8""",227,78,88,52,42,46,92,80,73,75,81,76,70,91,61,84,70,85,80,82,75,77
2-Way Mid-Range Rim Rocker,Power Forward,"6'6"" to 6'10""",210-261,72-84,67-80,84-93,37-80,46-79,82-91,70-83,62-82,56-76,78-86,70-80,62-88,80-89,55-91,44-85,46-82,67-87,79-86,68-83,71-94,70-80
2-Way Mid-Range Slasher,Power Forward,"6'7"" to 6'10""",210-252,74-80,68-80,87-93,38-90,37-66,85-89,77-80,72-99,60-75,70-78,66-75,74-79,78-87,49-85,78-84,59-70,77-85,75-84,69-77,72-82,80-85
2-Way Middy Point Four,Power Forward,"6'7"" to 6'8""",219-243,72-88,70-71,75-83,44-72,50-78,86-87,80-81,61-68,87-98,81-86,70-76,69-90,79-85,49-73,80-85,55-80,78-90,76-85,79-80,50-85,64-70
2-Way Middy-Creating Cleaner,Power Forward,"6'6""",265,76,57,52,32,45,88,83,70,47,72,77,92,95,83,80,86,92,83,83,85,80
2-Way Middy-Creating Crasher,Power Forward,"6'8"" to 6'9""",236-243,80-81,62-70,70-80,48-73,53-67,83-86,75-80,59-66,60-76,62-75,55-71,85-86,72-75,60-67,78-88,87-90,80,81-82,77-79,88-89,80-83
2-Way Middy-Scoring Cleaner,Power Forward,"6'7"" to 6'8""",247-263,70-75,45-65,60-81,41-72,47-77,82-87,75-80,58-82,65-75,50-65,55-64,70-82,82-92,79-92,74-84,80-83,92-94,85-89,77-80,82-91,77-85
2-Way Middy-Scoring Crasher,Power Forward,"6'10""",240,79,70,73,80,54,85,73,62,76,60,50,85,45,60,88,93,83,75,70,83,83
2-Way Middy-Slashing Cleaner,Power Forward,"6'6"" to 6'10""",214-265,68-76,71-79,85-93,38-72,45-53,80-88,77-83,61-88,61-87,78-86,68-75,73-85,73-90,50-85,65-84,66-82,88-92,80-85,70-80,57-85,77-85
2-Way Paint-Scoring Cleaner,Power Forward,"6'11""",236,92,75,87,90,87,80,68,81,76,50,35,83,62,60,74,75,85,75,65,84,80
2-Way Pick & Pop Cleaner,Power Forward,"6'7"" to 6'9""",230-270,66-73,45-65,50-75,45-81,50-62,69-80,79-84,55-80,60-82,47-65,51-65,67-85,74-91,73-92,69-80,70-82,92-96,80-88,65-80,85-94,70-86
2-Way Pick & Popper,Power Forward,"6'9""",223,80,55,58,43,55,90,89,69,76,52,55,91,74,79,87,55,80,80,78,90,77
2-Way Point Four Creator,Power Forward,"6'9"" to 6'10""",214-235,74-84,63-77,59-80,45-72,53-79,80-92,83-89,65-87,85-87,57-78,51-70,74-88,70-87,48-73,84-93,55-83,70-85,75-81,69-75,75-85,72-84
2-Way Post Bully Stretch,Power Forward,"7'0""",240,85,82,87,90,85,80,84,80,76,70,60,84,41,39,90,72,70,71,60,90,84
2-Way Post-Scoring Cleaner,Power Forward,"6'9""",236,85,61,80,77,86,71,80,58,76,65,62,78,80,50,70,81,92,81,77,84,85
2-Way Post-Scoring Stretch,Power Forward,"6'11"" to 7'0""",210-219,84-92,70-93,60-87,63-73,87-91,89-94,83-91,69-76,71-76,74-75,64-68,85-88,62-71,43-60,74-92,55-60,80,75-79,64-71,75-84,70-83
2-Way Power Finisher,Power Forward,"6'9""",248,88,98,71,86,63,66,51,91,55,80,61,78,79,49,48,64,71,80,75,98,59
2-Way Power-Dunking Cleaner,Power Forward,"6'9""",254,75,66,81,90,55,70,80,55,25,48,52,74,80,75,80,81,94,80,74,90,81
2-Way Putback Bullmaker,Power Forward,"6'9""",223,75,85,60,75,58,80,50,90,87,80,70,84,88,60,84,85,70,81,78,92,79
2-Way Rim Runner,Power Forward,"6'8""",232,89,95,93,59,40,66,76,76,75,69,55,70,80,85,65,50,75,85,77,75,80
2-Way Rim-Rocking Post Crasher,Power Forward,"6'11""",233,83,80,92,81,87,70,80,60,76,67,50,85,46,40,88,92,77,70,60,79,80
2-Way Rim-Rocking Stretch,Power Forward,"6'9"" to 6'11""",210-248,79-85,69-79,87-90,60-81,50-83,76-92,83-91,70-94,71-84,50-74,47-68,74-85,40-85,43-73,84-88,56-72,80-85,70-80,70-78,77-92,78-90
2-Way Rim-Running Dime Dropper,Power Forward,"6'11""",210,80,85,93,72,80,80,80,85,87,70,68,82,77,73,74,85,80,79,73,72,77
2-Way Rim-Running Putback Pro,Power Forward,"6'8"" to 6'11""",217-243,73-77,73-75,89-93,80-83,49-52,68-80,78-80,54-71,45-80,49-70,51-70,85-90,65-80,40-50,92-93,85-92,80-84,78-81,70-71,75-84,85
2-Way Rim-Running Rim Wrecker,Power Forward,"6'10""",227,89,70,89,86,80,76,80,61,25,50,48,95,48,73,93,54,75,78,63,85,90
2-Way Rim-Wrecking Stretch,Power Forward,"6'9"" to 6'11""",212-255,74-84,69-80,87-91,89-90,49-59,40-81,50-91,36-72,43-78,50-73,50-68,81-90,50-77,40-73,74-94,63-94,80-92,79-80,65-74,65-85,80-90
2-Way Skilled Pick & Popper,Power Forward,"6'6"" to 6'10""",230-261,62-81,55-80,45-84,45-80,53-75,73-89,80-91,60-96,45-83,70-85,68-76,70-93,72-96,48-97,46-88,32-85,57-88,77-90,62-87,90-93,60-80
2-Way Skilled Popping Cleaner,Power Forward,"6'10""",235,71,77,70,55,55,81,91,69,81,78,67,82,81,73,83,76,85,76,71,89,75
2-Way Skilled Stretch,Power Forward,"6'6"" to 6'9""",210-260,60-87,60-80,55-85,30-80,46-79,72-97,82-92,57-87,61-84,65-88,70-83,45-88,80-96,50-98,45-88,35-84,56-85,75-89,68-85,55-91,60-91
2-Way Skilled Stretch Cleaner,Power Forward,"6'6"" to 6'8""",233-261,70-76,61-71,74-83,45-73,49-51,80-89,83-86,60-64,60-71,75-86,75-83,82-88,75-85,54-79,63-86,68-81,88-92,75-83,68-83,83-90,69-86
2-Way Skilled Stretch Crasher,Power Forward,"6'9"" to 6'10""",225-246,74-77,70-80,70-80,45-56,47-53,75-84,84-85,61-62,76-78,67-78,69,85,74-82,70-84,88-92,85-92,77-80,75-78,71-73,79-83,74-80
2-Way Skilled Stretch Riser,Power Forward,"6'10""",230,75,63,73,86,53,76,86,61,75,78,68,88,47,70,87,88,81,77,72,82,77
2-Way Slashing Cleaner,Power Forward,"6'8"" to 6'9""",215-275,66-81,71-90,86-87,47-60,51-66,71-80,80-83,57-80,62-82,70-86,72-77,77-90,74-85,44-73,78-84,64-70,88-92,80-87,71-82,73-83,77-82
2-Way Slashing Dual Finisher,Power Forward,"6'9""",230,87,87,90,81,77,47,37,47,85,77,70,92,79,50,77,75,75,82,78,84,82
2-Way Slashing Power Dunker,Power Forward,"6'8""",243,74,73,93,83,50,73,80,64,82,83,64,80,77,51,83,72,82,80,70,85,81
2-Way Slashing Putback Pro,Power Forward,"6'9""",219-250,75-80,80,85-94,55-81,45-57,68-80,70-80,76-85,70-80,75-80,68-70,74-90,80-82,60-85,70-75,84-92,75-80,80,71-80,73-85,80-88
2-Way Slashing Rim Rocker,Power Forward,"6'9""",248,74,74,94,59,50,70,80,57,50,75,56,85,82,74,93,48,73,80,75,83,90
2-Way Slashing Rim Wrecker,Power Forward,"6'10""",227,80,80,93,83,55,76,80,71,70,78,68,82,81,51,56,72,79,78,72,84,89
2-Way Small Ball Four,Power Forward,"6'8"" to 6'9""",216-235,75-80,59-80,57-80,34-60,61-65,72-80,80,57-80,82-90,74-79,59-75,80-95,80-89,59-73,74-97,50-80,75-80,83-84,77-80,77-80,69-76
2-Way Stretch Dime-Dropper,Power Forward,"6'10""",210,71,70,73,81,51,81,91,80,85,50,50,91,83,73,88,50,71,80,76,84,85
2-Way Stretch Dunking Cleaner,Power Forward,"6'7"" to 6'9""",230-262,67-79,70-74,87-92,37-60,50-70,71-80,81-83,61-80,30-76,50-67,51-68,71-88,78-88,75-85,78-80,75-83,85-92,81-86,76-82,72-91,78-85
2-Way Stretch Four,Power Forward,"6'8"" to 6'11""",210-250,70-83,55-88,71-80,52-80,47-68,73-89,83-86,62-76,40-75,64-70,58-69,75-90,71-92,44-85,80-99,49-75,74-85,79-85,73-80,72-83,80-88
2-Way Stretch Four Cleaner,Power Forward,"6'7"" to 6'9""",210-248,70-84,50-75,62-75,48-80,46-75,75-86,81-83,65-89,65-75,46-65,50-60,70-94,74-92,45-92,80-81,65-80,85-93,80-85,71-85,81-83,80-83
2-Way Stretch Lob Threat,Power Forward,"6'7"" to 7'0""",214-250,78-90,60-85,70-85,75-90,51-75,89-93,83-89,67-85,71-80,49-72,39-64,76-88,42-87,60-70,78-89,55-75,80-86,70-85,57-80,70-85,76-85
2-Way Stretch Lob Threat Dimer,Power Forward,"7'0""",252,80,55,65,91,68,85,84,61,87,55,41,90,45,45,85,80,94,60,56,91,77
2-Way Stretch Putback Pro,Power Forward,"6'9"" to 6'11""",230-253,73-84,59-80,70-93,58-90,51-64,73-80,83-85,60-95,42-76,45-73,32-70,85-90,48-87,50-72,84-88,84-94,73-85,70-80,57-75,84-94,80-89
2-Way Stretch Slasher,Power Forward,"6'6"" to 6'11""",210-250,67-86,67-81,85-93,40-81,41-75,73-81,83-91,58-91,53-85,74-88,65-82,60-93,47-92,43-85,60-90,38-85,56-92,75-85,67-85,50-85,72-90
2-Way Tempo-Pushing Cleaner,Power Forward,"6'8""",235-262,70-80,64-70,74-80,41-49,56,71-80,80-81,57-63,76-80,79-80,75-76,81-85,80-85,50-85,81-85,78-81,86-88,81-84,76-80,88-90,61-80
2-Way Versatile Bully,Power Forward,"6'10""",245,90,70,75,90,70,90,87,80,84,75,66,85,61,40,80,75,80,75,60,85,55
3-Level Break Starter,Power Forward,"6'11""",210,80,80,89,81,76,85,80,79,87,73,68,70,70,65,80,80,85,79,73,73,88
3-Level Glass Guardian,Power Forward,"6'10"" to 7'0""",248-250,80-87,73-80,84-93,90,55-87,87-90,86-88,66-71,41-60,50-53,39-55,76-83,38-52,45-50,89-90,90-95,85-90,68-69,53-56,70-74,73-83
3-Level Glass Guardian Bully,Power Forward,"7'0""",238,82,67,87,81,61,85,82,63,66,56,52,82,65,60,84,92,90,70,59,90,81
3-Level Glass Guardian Dimer,Power Forward,"7'0""",234,84,80,85,75,75,86,83,81,86,73,61,80,65,63,86,87,90,72,62,72,80
3-Level Point Four Cleaner,Power Forward,"6'10""",216,79,70,89,72,54,86,84,77,86,76,67,80,75,60,78,80,85,76,74,73,80
3-Level Point Four Eraser,Power Forward,"7'0""",215,88,77,75,81,87,93,85,89,87,74,65,77,69,60,88,55,80,76,68,72,83
3-Level Scorer,Power Forward,"6'8"" to 6'11""",210-248,85-94,89-93,86-92,61-75,53-90,85-97,83-92,72-93,44-76,68-75,58-68,44-74,45-71,25-77,63-84,43-70,59-85,74-80,65-72,55-80,77-96
3-Level Scoring Cleaner,Power Forward,"6'11""",213,85,90,87,72,87,89,83,92,75,73,68,70,71,60,84,70,85,79,72,75,77
3-Level-Scoring Cleaner,Power Forward,"6'11"" to 7'0""",210-249,83-92,74-93,87-90,70-90,60-87,85-90,81-89,65-93,50-84,61-74,53-68,65-82,39-76,37-70,74-84,60-83,85-92,69-79,56-73,70-91,70-87
3-Level-Scoring Crasher,Power Forward,"6'9"" to 6'11""",212-220,80-88,76-90,80-86,52-85,60-85,84-85,83-85,72-75,74-76,70-72,68-70,77-80,65-75,73-75,76-80,84,74-84,79-80,73-75,75-83,78-80
Ankle-Breaking Bully,Power Forward,"6'11""",225,89,80,75,74,79,93,90,71,65,75,65,83,75,45,80,56,80,77,69,88,83
Athletic Paint Prodigy,Power Forward,"6'10""",233,87,93,96,95,87,50,35,74,55,67,68,67,47,67,78,60,60,77,71,86,88
Backline 3-Level Bully,Power Forward,"6'11"" to 7'0""",238-248,83-89,75-85,80-85,71-81,64-90,88-94,85-89,70-86,25-75,45-73,31-62,85-88,39-43,41-43,84-93,70-84,90-92,69-73,57-62,90-91,75-80
Backline 3-Level Creator,Power Forward,"6'10"" to 6'11""",228-233,75-80,75-85,80-89,60-81,53-79,84-87,81-89,70-74,52-80,75-78,65-68,85-88,72-74,43-67,85-90,60-78,85-92,75-76,68-71,84,72-81
Backline 3-Level Dimer,Power Forward,"6'9""",247,84,59,63,48,87,89,83,65,85,63,68,88,74,44,88,67,92,70,76,86,83
Backline 3-Level Scorer,Power Forward,"6'9"" to 7'0""",225-240,79-85,70-82,85-90,54-95,55-86,85-90,80-89,66-78,55-82,52-73,52-64,83-90,50-73,42-68,84-90,66-81,85-91,70-80,60-77,72-87,70-85
Backline Bulldimer,Power Forward,"6'11""",229,84,80,89,81,60,66,70,75,90,60,65,88,45,70,88,74,85,75,68,85,84
Backline Bulldozer,Power Forward,"7'0""",249,75,70,87,81,61,80,78,58,71,67,58,85,65,67,93,70,92,69,57,91,83
Backline Crafty 3-Level Scorer,Power Forward,"6'11"" to 7'0""",227-239,82-92,70-85,56-87,71-86,66-96,87-94,83-89,70-85,27-77,51-73,31-65,84-88,41-74,43-67,85-93,65-80,85-90,70-76,60-67,85-86,70-77
Backline Crafty Post Slasher,Power Forward,"6'10""",230,89,72,88,71,90,81,80,82,75,78,68,88,39,50,90,75,88,68,62,70,75
Backline Four,Power Forward,"6'9""",248,67,55,75,50,62,70,80,58,76,48,53,85,82,85,85,82,92,80,75,81,84
Backline Inside-Out Dimer,Power Forward,"7'0""",243,80,55,70,95,55,77,86,92,93,58,33,87,42,52,93,65,90,70,59,84,79
Backline Inside-Out Scorer,Power Forward,"6'10""",248,83,85,83,83,58,71,80,56,74,45,49,87,61,66,90,74,91,66,56,84,83
Backline Mid-Paint Bully,Power Forward,"6'11""",236,76,70,89,72,79,81,79,61,76,65,60,85,72,73,88,70,92,75,65,85,80
Backline Mid-Paint Scorer,Power Forward,"6'11""",212,72,69,89,78,53,75,80,55,76,60,50,89,71,67,94,72,89,79,73,72,88
Backline Mid-Range Scorer,Power Forward,"6'10"" to 6'11""",220-246,75-83,60-61,70-80,69-75,50-69,85,75-79,60-62,76-80,45-61,45-61,85,76-79,60-80,85-93,74-82,89-95,75-78,61-70,80,82-85
Backline Middy Creator,Power Forward,"6'9"" to 6'10""",220-226,75-79,66-80,80,65-72,50,84-89,72-80,77-86,76-80,70-71,68-70,85-88,45-70,45-60,85-93,67-80,86-90,75-82,70-80,78-85,79-83
Backline Middy Slasher,Power Forward,"6'10""",225,79,80,84,56,61,89,80,85,75,78,68,85,75,75,85,80,87,77,72,75,75
Backline Pick & Popper,Power Forward,"6'11""",264,88,80,62,81,84,93,91,69,70,46,44,85,71,42,84,80,88,70,58,85,77
Backline Post Bully Riser,Power Forward,"6'11""",255,80,57,74,88,85,80,42,56,25,45,50,89,40,45,93,74,99,50,50,95,81
Backline Power Dunker,Power Forward,"6'11""",248,75,71,88,90,70,80,80,55,71,54,59,91,44,47,84,71,93,73,62,88,81
Backline Rim-Running Dunker,Power Forward,"6'8"" to 6'11""",212-235,60-70,64-70,71-90,52-73,40-63,69-75,79-80,60-72,26-76,49-70,50-68,84-90,72-88,67-85,93,68-70,92-93,79-86,73-81,72-85,80-83
Backline Slasher,Power Forward,"6'10""",227,80,89,91,72,58,69,35,75,80,78,68,88,48,43,88,75,92,78,71,75,80
Backline Slashing Rim Rocker,Power Forward,"6'10""",225,75,76,87,68,57,70,80,55,71,75,69,85,48,50,84,71,94,78,73,83,88
Backline Stretch Four,Power Forward,"6'9"" to 6'11""",213-264,70-84,55-85,73-75,48-73,48-70,73-89,83-90,63-80,71-75,45-70,49-68,84-88,71-84,60-82,84-93,60-80,85-94,74-80,68-75,71-85,80-83
Backline Stretch Lob Threat,Power Forward,"6'9"" to 7'0""",228-251,80-88,56-80,70-80,84-95,51-79,80-91,83-90,64-80,65-82,38-71,29-62,83-90,39-80,38-60,84-93,62-80,87-93,60-73,47-64,84-91,70-83
Backline Stretch Rim Rocker,Power Forward,"6'9"" to 6'11""",227-248,67-80,67-80,87-90,55-90,47-61,73-80,83-86,58-74,32-77,49-60,35-61,85-90,36-72,41-79,84-93,70-83,89-94,63-80,57-68,82-91,83-89
Backline Stretch Rim Wrecker,Power Forward,"6'11"" to 7'0""",235-252,72-75,65-80,84-89,85-90,50-62,74-80,83-89,61-72,77-84,46-73,31-64,85-88,42-74,43-73,85-93,65-80,90-94,71-75,55-61,80-91,80-85
Backline Stretch Slasher,Power Forward,"6'9""",239,68,67,87,52,57,76,83,59,81,80,70,89,50,75,86,62,87,80,77,90,85
Backline Tempo Pusher,Power Forward,"6'8""",225,70,71,65,45,62,80,83,76,76,82,77,85,74,48,91,80,91,86,82,88,80
Ball-Snatching 3-Level Scorer,Power Forward,"6'8""",258,75,70,90,70,49,89,86,72,71,75,75,70,74,85,52,81,92,80,71,83,70
Ball-Snatching Faceup Riser,Power Forward,"6'8""",258,75,60,75,90,49,89,85,64,71,75,75,70,74,85,52,81,92,80,71,83,69
Ball-Snatching Lockdown,Power Forward,"6'9""",220,66,45,65,72,48-51,70,80,55-63,76-77,48,53,70,85,85,78,81,92,83,80,83,83
Ball-Snatching Lockdown Bully,Power Forward,"6'9""",244-250,65-78,45-58,65-68,60-72,52-60,70-71,80,55-56,65-74,45-46,50-51,70-74,82-84,85,74-78,80-92,81-94,80,75-76,86-91,84-88
Ball-Snatching Mid-Paint Bully,Power Forward,"6'7""",263,73,53,73,81,57,87,70,90,71,61,60,82,74,85,84,74,96,85,75,91,74
Ball-Snatching Middy Bully,Power Forward,"6'7"" to 6'8""",234-262,70-74,50-51,70,50-70,55-66,84-85,79-80,60-61,68-70,49-60,54-65,73-82,62-75,84-85,78-82,80-84,93-94,84-89,70-79,85-92,83-85
Ball-Snatching Skilled Stretch,Power Forward,"6'8""",258,76,62,70,72,50,89,83,67,71,75,75,70,74,85,74,70,92,84,76,80,70
Ball-Snatching Stretch Four,Power Forward,"6'9""",248,81,60,73,81,54,72,82,88,82,52,45,78,62,85,78,96,84,75,65,83,77
Big Range,Power Forward,"6'7""",255,80,75,80,81,79,82,92,77,87,77,68,75,74,73,74,61,80,74,70,84,77
Blow-By Dual Finisher,Power Forward,"6'7""",240,81,90,99,81,50,46,50,70,71,80,80,76,57,37,51,75,85,80,82,85,95
Board-Enforcing 3-Level Scorer,Power Forward,"6'10"" to 7'0""",225-265,77-85,67-75,85-87,66-75,52-60,82-89,85-90,63-75,61-80,47-75,42-68,85-86,45-74,41-45,85-92,85-92,85-90,72-77,60-72,85-90,75-80
