Build Name,Position,Height,Weight,Close Shot,Driving Layup,Driving Dunk,Standing Dunk,Post Control,Midrange Shot,Threepoint Shot,Free Throw,Pass Accuracy,Ball Handle,Speed With Ball,Interior Defense,Perimeter Defense,Steal,Block,Offensive Rebound,Defensive Rebound,Speed,Agility,Strength,Vertical
2-Way High-Flying Slasher,Shooting Guard,"6'4"" to 6'8""",185-229,70-78,70-81,70-94,27-72,42-52,73-84,53-84,56-77,61-82,85-92,72-81,41-82,85-98,55-95,47-91,33-78,50-79,82-92,77-87,56-83,70-87
2-Way High-Flying Wing Runner,Shooting Guard,"6'6"" to 6'8""",185-223,65-80,65-80,85-93,38-50,35-50,68-75,78-83,57-83,60-80,69-81,70-82,56-75,90-94,85-94,47-80,28-50,53-70,86-90,81-92,57-83,65-80
2-Way Inside-Out Bully Slasher,Shooting Guard,"6'5""",219,73,85,93,38,40,81,91,71,71,86,75,60,87,73,69,61,47,85,79,85,80
2-Way Inside-Out Combo Guard,Shooting Guard,"6'2"" to 6'8""",184-235,70-78,70-88,77-93,25-53,30-79,79-84,89-94,69-91,85-94,83-90,75-91,35-75,85-92,55-96,35-78,25-70,45-66,80-91,76-85,45-83,65-80
2-Way Inside-Out Creator,Shooting Guard,"6'8""",198,75,85,79,43,77,80,88,81,61,86,79,65,85,55,74,39,55,88,85,85,75
2-Way Inside-Out Dime-Dropper,Shooting Guard,"6'5""",205,69,80,87,32,34,83,93,80,91,84,82,41,85,80,40,28,50,83,80,51,75
2-Way Inside-Out Scorer,Shooting Guard,"6'5"" to 6'7""",190-205,75-85,85-88,87-88,36-50,65-87,75-83,85-93,68-81,56-78,80-81,75-84,51-60,85-92,55-91,43-78,26-50,45-55,80-90,78-86,71-79,77-85
2-Way Inside-Out Slasher,Shooting Guard,"6'5"" to 6'8""",185-205,70-76,85-88,87-93,37-56,41-51,75-84,85-92,60-72,70-80,85-93,75-83,40-60,85-90,55-80,36-73,25-60,50-65,84-90,75-90,51-67,71-91
2-Way Iso Sniper,Shooting Guard,"6'1"" to 6'8""",184-205,70-81,70-80,26-83,25-54,32-51,85-96,87-96,65-98,59-83,81-93,80-90,35-76,85-95,55-96,38-74,25-71,47-70,83-90,76-89,45-73,56-94
2-Way Iso-Sniping Cleaner,Shooting Guard,"6'8""",204,74,80,80,80,52,89,86,79,75,86,79,62,86,87,43,58,83,80,83,51,85
2-Way Laymaker,Shooting Guard,"6'8""",215,80,90,52,42,51,70,80,83,70,85,75,67,91,91,68,37,61,87,82,75,77
2-Way Mid-Paint Bully,Shooting Guard,"6'5"" to 6'8""",204-234,71-84,69-80,84-90,32-63,40-52,85-93,80-83,70-90,60-84,66-83,71-82,60-82,85-94,55-91,48-78,29-70,52-75,80-90,77-87,82-92,75-80
2-Way Mid-Paint Bully Creator,Shooting Guard,"6'8""",207,74,70,85,45,50,89,83,65,75,85,75,65,85,79,74,36,60,81,80,85,78
2-Way Mid-Paint Combo Guard,Shooting Guard,"6'8""",185-227,71-84,71-94,30-93,40-53,51,85-93,79-83,66-98,85-89,85-86,75-80,53-70,85-94,55-73,49-78,39-80,55-70,80-88,80-85,67-73,55-80
2-Way Mid-Paint Creator,Shooting Guard,"6'4"" to 6'8""",185-215,72-81,70-83,80-96,30-72,36-77,85-96,75-84,60-90,60-76,81-88,75-86,43-74,85-95,55-81,41-78,27-75,48-80,82-92,75-88,50-75,65-90
2-Way Mid-Paint Maestro,Shooting Guard,"6'8""",210,75,78,87,49,41,86,81,98,85,75,75,75,92,65,70,71,70,86,80,65,80
2-Way Mid-Paint Scorer,Shooting Guard,"6'4"" to 6'8""",185-220,70-80,70-88,85-93,32-53,32-75,85-94,75-83,60-93,60-84,65-84,70-80,43-74,85-95,55-91,42-84,31-78,48-76,80-90,76-86,57-82,74-85
2-Way Mid-Post Creator,Shooting Guard,"6'5""",219,79,80,93,38,84,93,80,70,60,85,86,42,92,62,42,44,52,86,83,67,80
2-Way Mid-Post High Flyer,Shooting Guard,"6'6""",195-200,80-85,71-80,87-90,40-41,84-90,91-95,75-83,75-82,56-71,75-81,75,51-60,92,73-85,43-68,46-70,53-55,82-87,80-81,73-78,75-80
2-Way Mid-Range Bully,Shooting Guard,"6'6"" to 6'7""",215-221,70-74,49-70,62-75,45-72,45-50,85-89,80-83,64-73,55-71,61-68,65-70,60-74,94-95,91-94,74-78,35-70,58-60,85-89,86,85,60-75
2-Way Mid-Range High Flyer,Shooting Guard,"6'3"" to 6'6""",180-225,74-80,75-85,87-93,33-40,31-45,89-95,78-83,65-77,65-85,86-90,85-86,35-65,85-92,73,35-68,25-31,45-53,86-88,80-85,48-75,75-80
2-Way Mid-Range Menace,Shooting Guard,"6'5"" to 6'8""",185-231,71-84,70-93,45-84,25-72,40-52,84-94,76-83,60-80,60-76,85-90,75-86,50-88,85-94,60-94,40-88,25-74,50-70,82-90,80-90,55-85,56-83
2-Way Mid-Range Scorer,Shooting Guard,"6'6"" to 6'7""",190-208,74,55-80,75-80,25-30,35,89,82-83,64-65,45-68,61-80,66-80,56-60,92-96,85-91,70-74,34-48,52-70,90-91,85-90,70-73,70-71
2-Way Mid-Range Slasher,Shooting Guard,"6'5"" to 6'8""",185-210,72-85,70-90,85-96,45-81,36-70,85-93,77-84,60-91,61-82,82-86,75-80,54-72,85-92,55-91,40-85,30-80,48-79,80-90,72-88,50-75,70-85
2-Way Middy-Creating Riser,Shooting Guard,"6'7""",209,72,71,80,81,47,87,83,94,67,86,80,82,85,60,84,60,80,80,85,82,74
2-Way Middy-Scoring Cleaner,Shooting Guard,"6'7""",214,75,63,73,40,80,89,70,80,56,77,75,60,94,79,75,63,80,90,86,85,71
2-Way Middy-Slashing Cleaner,Shooting Guard,"6'6"" to 6'8""",192-215,73-78,70-85,80-93,39-75,50-78,86-93,80-84,65-85,62-76,85-86,75-80,55-80,85-92,55-74,49-77,55-77,80-85,80-88,75-85,50-85,75-80
2-Way Middy-Slashing Crasher,Shooting Guard,"6'7"" to 6'8""",191-227,73-76,70-84,89-93,41-53,50-68,85-89,78-83,62-98,61-84,85-90,75-80,50-71,85-91,55-81,47-80,80-81,65-79,78-88,75-88,51-73,78-82
2-Way Off-Screen Shooter,Shooting Guard,"6'4"" to 6'8""",180-227,70-84,53-75,25-82,25-65,25-56,85-94,85-99,65-99,40-76,61-81,59-83,37-80,87-97,57-95,39-74,25-50,50-68,85-93,85-93,49-92,60-80
2-Way PlaySlaSh Bully,Shooting Guard,"6'5""",220,70,80,82,40,39,76,82,92,90,88,80,59,88,73,71,38,50,80,88,84,86
2-Way PlaySlash Cleaner,Shooting Guard,"6'8""",202,80,85,85,47,51,73,83,82,87,85,78,60,88,60,58,70,85,86,85,75,70
2-Way Sharpshooter,Shooting Guard,"6'5"" to 6'8""",182-210,73-80,66-80,75-80,36-45,33-54,86-92,85-97,67-80,71-79,69-81,67-83,47-76,85-94,73-94,46-70,32-77,53-62,75-90,82-84,56-75,60-80
2-Way Sharpshooting Cleaner,Shooting Guard,"6'7"" to 6'8""",208-235,82,57-69,49-84,39,46-57,93-95,88-92,69-93,25-49,50-72,55-62,55-80,91-97,82-84,52-76,56-70,80-82,81-84,77-80,80-90,70-74
2-Way Sharpshooting Riser,Shooting Guard,"6'6""",230-235,74-78,52-53,71-73,81,45-48,89-93,85-89,78-82,55-71,60-67,65-70,60-75,94-95,85-95,74-75,30-35,55-60,80-85,82-88,85,62-77
2-Way Slashing Combo Guard,Shooting Guard,"6'6"" to 6'8""",185-213,70-75,71-85,89-93,50-60,54-70,55-76,55-83,50-66,81-87,86,75-81,60,85-95,73-79,35-78,26-51,45-70,85-87,78-87,60-80,78-90
2-Way Slashing Putback Pro,Shooting Guard,"6'8""",191,74,84,92,52,51,80,80,67,61,86,80,57,89,70,73,80,65,88,88,55,82
2-Way Tempo Pusher,Shooting Guard,"6'8""",210,70,80,61,52,51,74,81,74,60,85,78,65,92,90,82,51,76,87,80,73,80
3 & D Two Guard,Shooting Guard,"6'8""",210,75,75,73,72,61,82,92,70,71,75,75,63,92,73,74,37,62,85,80,83,74
3-Level Scorer,Shooting Guard,"6'5"" to 6'8""",187-215,73-84,69-88,86-93,36-83,31-80,85-93,85-99,66-91,70-82,75-84,70-82,33-70,63-83,62-80,30-75,25-52,39-60,80-90,70-81,42-73,72-87
3PT High-Flying Ball Hawk,Shooting Guard,"6'5"" to 6'6""",200-208,78-80,78-80,89-98,42-43,35,77-81,87-91,62-66,77-78,80-83,79-83,50-52,72-81,83-92,33-42,32-56,50-51,83-93,68-80,50-75,78-87
3PT Layup Artist,Shooting Guard,"6'6""",208,84,99,62,25,35,80,90,65,54,79,79,50,64,34,35,72,75,94,79,64,64
3PT Shot Hunter,Shooting Guard,"6'4"" to 6'5""",205-210,72-74,75-79,61-80,26-33,40,84,94,75-76,71-79,85-90,81-86,55-74,75-80,75-79,27-45,34-50,51-70,90-94,77-85,56-73,64-70
3PT-Creating Combo Guard,Shooting Guard,"6'5""",175,69,78,80,25,43,80,90,76,85,93,89,25,60,65,27,25,50,90,90,43,71
3PT-Sniping Bulldozer,Shooting Guard,"6'7""",224,81,81,88,67,50,83,87,62,58,81,81,70,70,68,76,51,55,90,75,85,79
3PT-Sniping Creator,Shooting Guard,"6'6""",208,84,87,83,36,45,84,86,62,65,88,83,51,80,70,71,29,47,88,84,53,84
Ankle Taker,Shooting Guard,"6'5"" to 6'6""",208-210,84-90,90-93,72-73,25-51,30-40,90-93,85-91,89-91,71-80,80-85,85,30-50,60-74,46-70,31-36,25-30,40-46,87-90,77-80,50-75,70-76
Automatic,Shooting Guard,"6'8""",218,81,85,87,72,51,96,85,80,71,86,75,54,74,79,30,25,45,80,75,73,75
Ball-Hawking 3 & D Two Guard,Shooting Guard,"6'5"" to 6'7""",190-205,60-74,60-80,55-82,25-72,30-48,75-83,85-93,60-80,50-76,58-81,63-80,50-61,92-97,85-97,44-74,32-46,54-70,85-95,80-90,60-82,60-77
Ball-Hawking 3-Level Bully,Shooting Guard,"6'6""",212,85,80,25,25,90,99,89,75,60,80,70,61,80,82,31,50,41,80,75,86,50
Ball-Hawking 3-Level Creator,Shooting Guard,"6'4"" to 6'8""",175-205,77-85,71-85,32-93,25-53,42-51,90-93,85-92,68-87,67-80,85-92,75-83,46-63,79-82,85-86,35-42,25-72,44-59,80-90,71-85,49-74,60-80
Ball-Hawking 3-Level Scorer,Shooting Guard,"6'5"" to 6'6""",189-213,80-85,80-85,75-92,35-46,30-90,87-95,85-90,72-89,65-79,75-81,71-79,50-71,69-82,85-89,25-74,29-70,51-62,85-88,76-83,57-73,65-84
Ball-Hawking 3PT Shot Hunter,Shooting Guard,"6'7""",200,78,80,80,36,50,83,90,71,79,90,82,70,66,89,44,50,50,86,75,57,75
Ball-Hawking 3PT Slasher,Shooting Guard,"6'5"" to 6'8""",193-215,69-78,71-77,86-91,39-50,41-51,78-83,85-93,69-85,66-75,85-90,78-86,45-69,66-84,85-91,35-68,26-61,43-60,85-94,77-85,49-75,75-80
Ball-Hawking Iso Sniper,Shooting Guard,"6'5"" to 6'6""",180-208,70-77,73-77,76-80,30-60,37-47,85-91,87-96,76-99,71-80,84-92,85-86,45-52,71-82,85-87,25-50,25-30,40-48,85-86,80-85,35-47,60-80
Ball-Hawking Mid-Paint Scorer,Shooting Guard,"6'6"" to 6'8""",185-212,77-84,72-93,91-93,43-51,35-50,92-93,80-83,68-83,43-76,68-83,60-75,59-67,66-82,85-91,39-74,28-72,48-69,85,71-85,53-84,80-85
Ball-Hawking Mid-Range Menace,Shooting Guard,"6'0""",165,76,93,73,25,34,91,76,76,71,93,91,55,85,91,55,25,40,92,88,50,65
Ball-Hawking Middy Slasher,Shooting Guard,"6'8""",185-193,74-78,70-73,90-92,50-53,50-51,87-93,80-83,66-72,71-84,85-86,75-80,60-72,82-84,85-91,37-74,31-73,52-69,80-88,76-85,50-73,80
Ball-Hawking PlaySlash,Shooting Guard,"6'3""",215,75,88,86,51,45,72,82,68,89,93,91,46,75,90,37,26,36,91,76,74,66
Ball-Snatching 3-Level Scorer,Shooting Guard,"6'8""",205,74,74,94,54,45,85,86,70,65,80,79,60,80,84,70,72,72,82,80,65,80
Ball-Snatching Middy Creator,Shooting Guard,"6'7""",224,72,80,80,72,47,87,80,62,61,86,80,60,68,85,40,65,80,90,84,73,81
Board-Hunting High Flyer,Shooting Guard,"6'8""",217,80,80,85,59,45,75,83,76,79,80,75,80,80,75,75,80,80,80,78,80,80
Board-Hunting Middy Slasher,Shooting Guard,"6'6""",222,79,90,90,51,54,88,83,65,65,90,84,61,54,38,44,80,84,84,83,80,75
Catch & Shoot 3PT Sniper,Shooting Guard,"6'5"" to 6'8""",191-205,74-80,66-80,80,48-80,34-41,81-82,90,66-70,80,75-80,80,51-60,60-65,80,62-70,44-71,61-70,88-92,77-88,74-76,78-98
Clamp Thief,Shooting Guard,"6'6""",200-221,58-73,57-70,68-78,25-55,33-43,73-80,83,58-67,46-70,71-83,76-81,60-62,94-97,91-95,74-76,30-55,55-79,87-92,87-92,73-82,65-70
Crafty 3-Level Dime-Dropper,Shooting Guard,"6'3"" to 6'5""",198-220,85-99,89-95,87-96,47-67,31-74,91-98,91-95,99,86-90,81-84,61-77,26-68,31-70,25-82,31-63,41-60,46-63,61-82,46-79,51-60,71-76
Crafty 3-Level Scorer,Shooting Guard,"6'5""",220,80,90,90,38,27,94,99,77,51,76,80,38,55,25,50,50,50,80,70,50,80
Crafty Inside-Out Scorer,Shooting Guard,"6'7""",208,80,90,95,71,41,70,80,84,71,79,75,60,74,79,68,45,54,80,75,73,80
Crafty Mid-Paint Combo Guard,Shooting Guard,"6'8""",225,79,85,82,52,54,88,83,80,89,86,77,79,81,75,67,62,68,77,68,75,70
Crafty Mid-Range Menace,Shooting Guard,"6'6""",206,81,88,73,40,79,96,83,77,76,86,80,50,74,60,30,39,40,80,80,67,65
Crafty Mid-Range Slasher,Shooting Guard,"6'0""",165,99,99,85,25,67,96,81,71,73,94,84,25,54,27,25,40,25,84,69,43,65
Crafty Sharpshooter,Shooting Guard,"6'5"" to 6'6""",175-212,84-94,65-83,60-80,50-60,45-60,95-99,90-99,80-99,65-80,70-80,65-75,60,60-65,61,60,48-61,48-60,65-80,65-80,61-65,60
Crafty Walking Bucket,Shooting Guard,"6'6""",208,88,88,88,66,88,89,86,85,64,85,80,68,66,36,38,58,48,81,81,80,82
Diming 3-Level Bully,Shooting Guard,"6'7""",206,97,86,88,38,51,88,88,69,87,81,61,61,54,79,68,57,43,81,76,86,68
Diming 3-Level Scorer,Shooting Guard,"6'5"" to 6'8""",200-211,76-91,70-86,85-91,39-45,30-50,88-93,87-94,65-99,85-86,77-83,78-82,35-72,70-82,46-80,33-46,33-51,43-55,85-90,75-85,51-70,71-83
Diming Sharpshooter,Shooting Guard,"6'6""",212,80,77,73,26,35,95,93,99,85,80,75,44,71,41,27,35,60,88,80,69,72
Disruptive 3PT Rim Wrecker,Shooting Guard,"6'7""",220,74,70,87,80,79,75,85,67,70,81,79,80,75,85,80,75,85,80,79,75,80
Disruptive Lockdown,Shooting Guard,"6'6""",200,65,52,55,45,34,73,83,81,71,67,72,70,97,94,78,32,57,87,92,72,74
Disruptive Mid-Range Slasher,Shooting Guard,"6'6""",232,74,74,94,45,40,85,83,80,61,85,75,60,75,91,76,75,60,85,80,60,82
Disruptive Slashing High Flyer,Shooting Guard,"6'8""",185,67,71,87,47,51,70,80,57,70,86,75,72,79,91,88,42,63,84,84,67,80
Disruptive Wing Runner,Shooting Guard,"6'7""",208,74,80,89,43,45,75,83,80,76,81,75,60,74,85,78,30,53,89,84,75,78
Edge Enforcer,Shooting Guard,"6'6""",200,65,58,60,45,32,73,83,71,48,73,78,60,94,94,78,75,80,93,92,71,74
Edge-Enforcing 3-Level Scorer,Shooting Guard,"6'8""",192,74,73,93,53,50,89,85,74,71,80,75,59,85,60,78,67,80,85,80,71,80
Edge-Enforcing Iso Sniper,Shooting Guard,"6'8""",188,75,80,75,40,51,90,85,94,71,86,80,60,90,60,74,74,80,85,85,73,75
Edge-Enforcing Middy Scorer,Shooting Guard,"6'6"" to 6'8""",190-232,72-74,55-80,45-66,25-45,40-56,87-89,80-83,63-77,28-70,51-80,56-75,71-75,91-94,89-91,78-88,55-80,80-85,85-86,80-85,70-91,74-80
Edge-Enforcing Middy Slasher,Shooting Guard,"6'8""",188-215,70-76,70-85,87-92,49-75,50-80,85-91,75-83,60-82,60-71,85-86,75-80,60-80,85-92,60-73,78-85,70-80,65-80,75-86,75-86,51-75,75-83
Edge-Enforcing Slasher,Shooting Guard,"6'8""",191-193,65-73,72-80,79-89,45-75,50,75-80,61-83,73-82,65-76,85,80,70-74,90-92,62-73,78-84,75-80,65-80,85,85,73,78-80
Floor-Sweeping Slasher,Shooting Guard,"6'7""",235,70,70,87,65,46,80,80,61,70,85,75,70,82,85,75,80,92,84,80,77,75
From The Logo,Shooting Guard,"6'5""",207,75,75,80,60,37,90,96,76,71,86,86,45,74,85,25,25,40,86,80,35,65
Gritty 3PT Slasher,Shooting Guard,"6'7""",200,70,75,85,38,49,80,85,71,75,86,75,82,80,75,72,76,76,85,82,77,80
Gritty High-Flying 3PT Sniper,Shooting Guard,"6'5""",209,78,80,90,69,37,81,91,66,80,83,80,80,80,80,69,74,77,80,81,80,80
Gritty Inside-Out Dimer,Shooting Guard,"6'8""",200,72,75,85,45,46,82,92,68,85,81,66,82,82,79,74,50,65,80,80,69,79
Gritty Inside-Out Scorer,Shooting Guard,"6'7""",208,78,87,90,40,40,80,88,66,56,80,80,81,81,68,52,37,61,90,81,63,78
Gritty Iso Savant,Shooting Guard,"6'8""",210,76,80,90,54,56,85,89,73,70,86,78,81,80,60,75,74,62,87,80,65,73
Gritty Mid-Range Menace,Shooting Guard,"6'7""",216,74,80,84,40,70,89,80,70,75,86,80,81,73,85,83,39,62,81,77,65,81
Gritty Slashing Dual Finisher,Shooting Guard,"6'6""",220,80,85,95,49,48,79,80,55,68,93,76,86,77,50,56,61,70,87,74,66,75
High-Flying 3PT Sniper,Shooting Guard,"6'5"" to 6'8""",180-230,69-82,70-82,88-98,40-75,33-52,82-85,86-94,67-75,53-85,78-85,75-85,41-65,65-85,73-81,35-74,25-32,43-53,85-95,74-81,48-82,78-81
High-Flying Board Enforcer,Shooting Guard,"6'6""",235,73,75,88,40,77,86,78,62,61,86,80,85,87,73,80,82,85,85,80,84,80
High-Flying Mid-Post Creator,Shooting Guard,"6'7""",210,82,80,90,40,87,90,79,80,80,85,75,72,80,51,70,47,52,81,84,70,80
High-Flying Mid-Range Slasher,Shooting Guard,"6'5"" to 6'8""",185-232,70-81,71-85,87-93,34-53,35-80,85-96,80-85,60-82,65-76,85-90,75-86,48-80,77-85,60-85,35-75,27-76,45-62,83-89,77-85,49-85,71-82
High-Flying Slasher,Shooting Guard,"6'7""",190,75,80,95,45,45,70,79,70,72,85,83,55,80,51,75,33,53,84,87,53,88
Inside-Out Break Starter,Shooting Guard,"6'8""",200,84,92,90,50,40,77,85,62,85,74,79,80,80,50,51,65,80,88,73,72,83
Inside-Out Combo Guard,Shooting Guard,"6'5"" to 6'8""",193-223,80-82,85-89,85-97,50-62,35-80,79-81,83-89,65-90,85,85,75-88,36-60,70-84,50-70,46-70,38-50,52-64,86-88,71-81,50-85,74-88
Inside-Out High Flyer,Shooting Guard,"6'5""",205,92,82,97,50,39,83,90,78,70,82,70,79,79,49,62,45,70,85,75,77,85
Inside-Out High-Flying Slasher,Shooting Guard,"6'2"" to 6'8""",180-230,68-80,70-85,85-96,33-72,35-77,78-84,86-94,63-83,60-80,81-95,75-91,25-80,60-84,37-84,30-74,25-79,43-71,80-94,70-90,38-83,70-93
Inside-Out Scorer,Shooting Guard,"6'6"" to 6'8""",205-222,76-82,87-90,95-96,48-90,45-61,83-84,85-92,60-99,54-70,75-80,77-80,44-70,66-80,43-50,45-51,61-72,60-71,85-86,75-80,53-60,75-90
Inside-Out Slasher,Shooting Guard,"6'1"" to 6'8""",185-225,73-82,85-93,86-96,32-65,36-65,76-84,85-93,61-80,60-80,84-95,70-93,25-76,62-84,50-83,30-75,25-55,36-58,84-93,76-89,42-82,73-87
Inside-Out Slashing Dunker,Shooting Guard,"6'8""",193,70,80,90,82,50,83,92,68,80,85,80,71,80,70,50,63,54,80,70,70,80
Inside-Out Slashing Eraser,Shooting Guard,"6'8""",200,80,85,95,58,51,80,85,68,67,86,79,70,58,41,86,55,80,88,75,58,90
Inside-Out-Creating Eraser,Shooting Guard,"6'8""",195,73,73,88,82,55,77,85,61,65,85,79,65,80,80,80,39,62,88,85,60,80
Iso Savant,Shooting Guard,"6'2"" to 6'8""",165-222,70-94,70-93,85-96,32-80,32-79,85-93,85-96,64-93,61-82,80-94,72-91,25-72,56-85,41-85,26-75,25-74,39-77,78-93,67-88,40-82,70-85
Iso Sniper,Shooting Guard,"6'2"" to 6'8""",175-215,74-89,70-85,25-81,25-65,26-75,85-95,90-99,65-95,65-85,81-94,77-91,25-75,55-81,35-84,25-76,25-73,30-71,80-92,65-89,40-80,54-81
Lock & Board Middy Slasher,Shooting Guard,"6'6""",235,73,80,85,45,45,88,83,75,75,85,75,74,85,85,74,80,80,80,76,85,78
Lock & Board Slasher,Shooting Guard,"6'8""",227,74,74,91,55,54,80,83,58,71,86,75,62,85,75,74,80,81,86,81,65,81
Lockdown Defender,Shooting Guard,"6'6"" to 6'7""",210-224,58-70,65-71,59-75,29-54,45-62,73-84,83,58-62,36-65,60-68,65-72,83-88,94,85-94,78,46-70,66-73,87-90,83-88,74-83,73-89
Mid-Paint Combo Guard,Shooting Guard,"6'6""",190,75,88,87,41,41,85,80,70,86,86,84,35,80,70,46,43,55,86,85,55,80
Mid-Post High-Flying Ball Hawk,Shooting Guard,"6'6""",208,86,68,88,38,90,96,80,78,70,80,80,44,82,79,38,51,46,82,81,61,83
Mid-Range High Flyer,Shooting Guard,"6'6"" to 6'8""",190-210,78-80,75-80,90-93,40-72,45-46,92-95,82-83,68-76,63-71,80-90,76-86,42-55,73-74,67-73,43-69,26-30,47-50,85-87,80,45-73,80-83
Mid-Range Slashing Cleaner,Shooting Guard,"6'8""",192-219,71-75,71-75,89-90,51-52,52-53,86-90,81-84,65-80,61-71,86,78-80,65-67,80-82,60-73,74,72-73,80-92,85-86,82-83,64-71,78-80
Middy-Creating Glass Guardian,Shooting Guard,"6'8""",231,78,80,77,53,58,87,83,62,61,86,77,67,58,83,85,84,92,86,81,53,88
Physical 2-Way 3PT Slasher,Shooting Guard,"6'4""",216-230,73-78,75,88-93,33-40,40-44,80,90,72-75,70-75,85-90,85-87,60-64,85-88,73-88,40-64,25-26,45-50,87,82-87,85-90,75-80
