Build Name,Position,Height,Weight,Close Shot,Driving Layup,Driving Dunk,Standing Dunk,Post Control,Midrange Shot,Threepoint Shot,Free Throw,Pass Accuracy,Ball Handle,Speed With Ball,Interior Defense,Perimeter Defense,Steal,Block,Offensive Rebound,Defensive Rebound,Speed,Agility,Strength,Vertical
2-Way Stretch Rising Cleaner,Center,"7'0"" to 7'4""",230-260,75-99,55-77,54-75,88-99,60-80,75-90,75-90,59-85,25-85,33-65,25-48,85-94,38-66,40-66,58-84,70-85,85-96,50-70,31-58,68-91,66-83
2-Way Stretch Slasher,Center,"7'1""",220,80,70,80,80,75,80,90,75,75,72,58,88,67,59,95,75,76,72,60,80,75
2-Way Tempo-Pushing Cleaner,Center,"6'10""",233,72,65,65,77,77,78,75,55,82,77,68,90,72,70,75,81,91,75,70,85,77
2-Way Triple-Double Threat,Center,"7'0"" to 7'4""",228-236,80-89,59-81,58-80,81-96,55-94,82-90,82-89,66-89,85-88,37-65,25-44,82-91,35-60,37-48,74-85,78-80,85-94,55-70,45-53,80-86,70-81
3-Level Glass Guardian,Center,"6'11"" to 7'1""",242-253,81-84,70-75,80-89,72-94,59-76,86-89,82-85,61-88,65-77,60-71,45-61,82-84,57-72,37-58,85-91,85-93,87-95,52-72,37-61,78-83,62-80
3-Level Glass Guardian Bully,Center,"6'11""",250,82,67,87,82,57,87,85,62,71,47,30,80,40,70,88,90,92,70,60,85,83
3-Level Glass Visionary,Center,"7'4""",232-252,77-85,60-71,54-70,90-92,60-82,82-90,87-89,65-66,87-94,44-65,25-43,78-84,35-62,39-53,78-84,85-89,85-94,54-61,41-46,79-83,68-73
3-Level Point Center Crasher,Center,"7'0""",269,80,64,65,90,80,81,90,78,87,63,51,82,61,53,80,91,81,65,50,90,80
3-Level Point Center Eraser,Center,"7'0""",246,82,85,81,90,79,85,89,70,87,74,59,85,40,42,88,70,85,70,58,83,81
3-Level-Scoring Cleaner,Center,"6'11"" to 7'4""",227-260,84-95,59-81,55-88,73-95,61-91,81-93,82-90,63-92,61-85,35-71,25-61,80-85,32-68,36-60,74-85,70-85,85-96,50-74,38-64,79-94,65-83
3-Level-Scoring Crasher,Center,"7'0""",250,84,62,82,99,78,82,84,60,70,44,49,84,46,39,59,86,82,69,55,91,76
Backline 3-Level Scorer,Center,"7'0"" to 7'4""",230-240,84-87,60-70,55-83,80-92,61-87,83-89,84-89,64-77,71-85,36-66,25-55,85-91,38-66,40-57,85-93,60-84,85-92,60-65,46-55,79-85,70-80
Backline Bulldozer,Center,"6'8""",260,67,75,87,47,56,70,80,76,87,67,54,88,74,44,88,80,94,84,76,91,80
Backline Crafty 3-Level Scorer,Center,"7'0"" to 7'4""",230-258,84-95,61-81,51-80,76-90,65-87,81-90,84-89,65-87,60-75,30-65,25-46,85-90,35-62,40-59,89-95,70-85,85-95,51-68,31-55,72-90,66-75
Backline Crafty Mid-Post Riser,Center,"7'2""",220,89,80,67,93,93,83,81,60,80,59,51,87,38,42,90,61,86,68,52,75,79
Backline Diming Lob Threat,Center,"7'2""",245,83,58,77,92,80,75,73,72,85,59,46,90,40,45,90,70,90,60,45,90,75
Backline Inside-Out Creator,Center,"7'0"" to 7'1""",227-247,75-80,63-80,80,85-90,67-80,80-81,88-89,65-71,47-76,72-74,57-61,85-90,62-67,43-60,85-93,70-80,85-92,69-70,57-58,84-85,80
Backline Inside-Out Dimer,Center,"7'0"" to 7'4""",226-255,75-85,53-73,56-80,89-94,56-86,75-80,80-90,65-89,85-95,35-72,25-57,85-91,38-62,40-53,85-93,62-84,85-94,57-70,40-58,75-95,69-83
Backline Lob Threat,Center,"7'1""",239,86,79,67,87,79,79,39,80,59,59,43,89,39,44,90,75,99,57,54,80,75
Backline Masher,Center,"7'0""",239,92,69,68,90,77,68,78,92,75,51,41,85,35,42,97,70,92,60,60,83,83
Backline Mid-Paint Bully,Center,"6'11"" to 7'1""",230-253,76-86,55-70,60-89,72-94,60-80,81-91,70-80,61-72,70-77,46-68,25-60,85-90,39-72,40-73,86-91,70-80,90-94,65-75,52-65,85-94,70-80
Backline Mid-Paint Scorer,Center,"6'11""",237,76,70,89,72,79,81,79,61,76,66,60,85,72,74,88,70,92,74,65,85,80
Backline Mid-Post Bully,Center,"7'0""",239,87,74,73,81,87,90,45,72,76,42,30,88,40,43,91,80,92,70,60,92,80
Backline Mid-Post Bully Riser,Center,"7'0"" to 7'1""",241-253,81-84,70-75,73-80,90-94,85-87,82-89,78-80,65-77,55-65,42-62,31-51,87-89,40-62,44-61,85-93,70-75,92-94,62-70,49-50,86-92,70-83
Backline Paint Bully,Center,"7'0""",248,77,81,78,90,77,40,25,65,60,46,31,88,60,43,93,80,96,69,57,91,83
Backline Pick & Pop Dimer,Center,"7'2"" to 7'4""",245-260,80-92,55-70,46-69,72-81,65-87,80-85,87-89,65-75,87-94,42-65,26-41,88-89,38-59,43-53,93-94,67-75,85-95,27-57,25-43,87-94,60-70
Backline Pick & Popper,Center,"7'0"" to 7'4""",235-259,85-89,61-75,55-72,73-85,65-79,86-93,83-89,69-71,55-71,26-71,25-59,84-88,39-62,43-60,84-93,71-85,88-96,57-70,42-58,85-95,70-78
Backline Post Bully,Center,"7'4""",275,93,66,50,81,87,68,78,87,82,52,35,88,42,43,92,75,92,45,34,91,64
Backline Post Bully Riser,Center,"7'0"" to 7'2""",253-273,82-86,60-66,66-75,90-93,85-87,60-80,70-76,55-70,71-77,41-50,25-45,88-90,40-62,43-52,88-93,70-82,92-94,53-68,42-55,91-95,70-80
Backline Post Bully Stretch,Center,"7'2"" to 7'4""",241-252,84,60-71,57-60,90-95,76-85,76-80,85-89,60-76,65-84,36-59,25-40,85-91,35-45,40-50,85-93,67-84,85-94,54-58,41-44,90-91,69-71
Backline Post Rim Rocker,Center,"7'0""",245,90,68,86,82,90,70,80,61,60,60,59,95,48,57,87,70,90,70,58,85,75
Backline Post-Scoring Dimer,Center,"7'3"" to 7'4""",231-242,87,62-70,59-73,90,86-87,80,52-70,71-89,87,40-65,25-44,85-88,61-62,40-43,92-93,70-73,85-92,61-62,45-46,79-83,70
Backline Poster Dunker,Center,"7'0""",248,86,67,87,93,79,80,78,60,25,47,29,88,39,60,88,71,96,69,57,91,83
Backline Power Dunker,Center,"6'11"" to 7'0""",246-252,80-84,70-77,82-86,89-90,59-70,70-80,75-80,56-76,71-81,46-50,30-36,88-89,40-43,43-44,85-86,80-83,95-96,70-72,58,87-91,62-80
Backline Power Finisher,Center,"6'10"" to 7'0""",238-242,80-86,84-85,87,81-90,61-70,55-70,25-80,64-68,75-76,47-50,30-52,88-90,40-45,45-49,85-90,80-83,90-92,70-75,56-70,90-91,80
Backline Rim Runner,Center,"7'0""",246,84,80,80,90,79,80,75,73,65,67,55,88,62,44,93,67,92,70,58,84,74
Backline Rim-Running Dimer,Center,"7'1""",225,78,70,73,90,60,80,78,91,87,61,57,85,62,60,93,74,92,70,58,76,83
Backline Slashing Rim Rocker,Center,"6'9""",240,75,75,90,60,50,70,80,69,70,80,63,90,51,48,90,71,96,80,66,70,80
Backline Stretch Dimer,Center,"7'0"" to 7'4""",252-253,84,60-70,54-59,75-81,70-75,80-89,83-89,87-89,87-93,58-65,33-40,88,52-62,43-46,89-93,76-80,94,54-67,41-47,84,65-74
Backline Stretch Diming Riser,Center,"7'4""",230,84-85,59-77,58-73,90-92,59-66,84-90,85-89,64-89,85-87,36-65,26-44,85-90,38-62,40-46,90-92,75-84,85,62,47,72-81,70-73
Backline Stretch Lob Threat,Center,"6'11"" to 7'4""",230-260,75-92,52-77,54-74,85-95,55-84,71-90,75-89,59-89,50-84,25-66,25-52,85-95,36-62,40-60,86-99,60-84,85-96,50-71,35-61,72-92,59-85
Backline Stretch Post Scorer,Center,"7'3"" to 7'4""",230-248,92,67-75,72-73,81-95,86-87,75-79,83-89,61-68,71,40-65,40-44,85,35-62,40,93,65-79,85,57-62,43-47,79-86,70-71
Backline Stretch Rim Wrecker,Center,"7'0""",246,75,70,87,90,78,78,82,57,60,60,59,92,42,47,92,70,93,63,46,90,81
Ball-Hawking Blow-By Slasher,Center,"6'7""",215,74,75,94,44,38,68,78,54,71,75,78,80,83,79,79,56,80,85,84,73,82
Ball-Hawking PlayShot,Center,"6'8""",215,63,65,75,45,50,78,88,78,87,80,75,82,75,85,78,55,80,83,83,84,75
Ball-Snatching Lockdown,Center,"6'9""",220,68-70,45-55,65-75,48-65,48-49,70,80,56,76,48,53,70-74,82-83,85-88,78-84,80-83,92-94,83,80,83,82-84
Ball-Snatching Lockdown Bully,Center,"6'9""",255,70,50,70,55,55-56,70,80,55-58,70-71,45,50,70-71,83,85,78,80,94,80,71,90,90
Ball-Snatching Middy Bully,Center,"6'7""",263,76,51,63,72,57,85,79,60,71,61,63,69,82,85,78,85,94,88,78,91,85
Ball-Snatching Popper,Center,"6'8"" to 6'9""",234-241,63-68,45-48,60-63,45-50,50,71-74,80-83,58-83,70-82,60-62,51-56,75-82,84,85-94,68-84,69-74,94,78-85,77-80,85,80-83
Ball-Snatching Power Dunker,Center,"6'11""",243,79,72,85,90,56,75,80,73,76,70,62,76,72,74,78,94,80,73,64,85,81
Big Smooth,Center,"7'1""",236,92,80,75,85,87,80,83,70,95,60,55,82,32,60,74,75,94,61,45,86,70
Board-Enforcing 3-Level Bully,Center,"7'4""",244,82,57,55,80,87,83,89,70,82,65,41,86,42,41,84,85,92,57,43,91,70
Board-Enforcing 3-Level Dimer,Center,"7'0"" to 7'4""",242-250,79-85,57-61,55-70,85-94,54-79,84-89,84-89,64-86,87,37-53,25-53,85-90,35-65,40-50,84-85,88-94,85-92,54-70,41-59,78-84,69-83
Board-Enforcing 3-Level Scorer,Center,"6'11"" to 7'4""",242-253,83-85,61-70,66-89,70-91,58-90,81-90,85,66-89,60-75,49-65,29-42,88-90,40-56,43-45,82-90,85-92,90-92,54-58,41-45,80-90,67-83
Board-Enforcing Bullmasher,Center,"7'2""",245,89,65,65,85,80,70,80,70,60,50,46,90,50,50,90,90,90,60,40,94,60
Board-Enforcing Crafty Dimer,Center,"7'4""",230,90,74,73,81,71,50,50,74,89,52,44,90,62,50,90,85,94,62,47,74,73
Board-Enforcing Diming Popper,Center,"7'0"" to 7'1""",250-256,70-75,50-70,56-73,70-84,60-63,75-80,80-90,56-78,85-93,45-58,25-58,90-95,44-48,45-50,85-94,88-94,87-95,61-69,42-56,90-91,70-80
Board-Enforcing Diming Riser,Center,"7'0"" to 7'4""",232-256,75-85,50-76,50-75,90-95,50-75,45-80,25-80,57-89,86-94,37-58,25-43,85-90,38-62,40-60,78-94,90-96,85-94,50-69,38-57,72-91,65-83
Board-Enforcing Middy Maestro,Center,"7'0"" to 7'4""",232-267,79-84,76-80,55-76,81-94,54-80,81-82,80,66-80,87-90,44-52,27-41,85-88,62-63,41-43,80-84,87-94,85-96,61-65,46-51,77-88,70-73
Board-Enforcing Stretch Dimer,Center,"7'0"" to 7'4""",240-268,80-86,55-65,64-68,72-82,58-80,78-85,83-89,63-87,85-94,37-70,25-49,85-91,38-56,43-50,81-92,85-93,89-99,40-68,32-51,82-86,61-83
Board-Enforcing Stretch Dunker,Center,"6'11"" to 7'2""",230-236,77-83,70,80-89,72-88,56-72,75-78,81-85,59-61,60-71,54,41-55,85-90,40-72,45-60,84-90,86-92,85-95,65-75,45-66,82-91,73-80
Board-Enforcing Stretch Riser,Center,"7'0"" to 7'4""",230-260,75-84,51-80,65-80,85-95,61-80,71-89,80-89,57-83,60-85,30-70,25-53,82-90,38-62,38-60,70-93,85-94,85-94,50-70,38-63,75-94,67-84
Board-Hunting 3-Level Bully,Center,"7'4""",236-256,83-84,67-70,65-67,90-92,87-88,83-88,89,65-72,29-76,38-65,25-41,82-84,32-38,37-43,80-84,87-97,88-92,52-60,40-45,86-89,68-70
Board-Hunting 3-Level Scorer,Center,"7'0""",232-269,87-99,62-76,55-75,72-90,75-95,87-94,83-90,68-92,46-82,48-71,25-57,74-82,40-62,35-60,59-84,85-97,85-98,41-70,25-62,75-86,60-83
Board-Hunting Bucket Getter,Center,"6'11""",253,84,88,80,72,80,88,85,71,77,73,61,81,72,70,84,86,86,71,60,74,82
Board-Hunting Bulldozer,Center,"6'9""",250,75,75,95,84,57,80,79,74,41,66,60,67,68,39,79,86,92,80,75,87,83
Board-Hunting Crafty Finisher,Center,"7'4""",245,94,73,73,72,73,70,77,73,65,54,41,79,37,34,70,97,98,56,43,63,70
Board-Hunting Lob Threat,Center,"7'4""",240,78,53,57,85,54,39,25,39,79,37,42,84,34,44,84,98,99,58,38,79,70
Board-Hunting Lob Threat Bully,Center,"7'0""",246-250,79-86,54-61,60-73,90,62-84,75-80,78-80,55-61,80-82,52-55,30-57,75-82,45-51,32-37,79-84,88-99,92-99,31-70,32-50,91-92,57-80
Board-Hunting Mid-Paint Bully,Center,"6'9""",270,74,67,87,81,56,83,80,62,55,55,51,74,71,41,78,89,94,78,72,91,79
Board-Hunting Mid-Paint Riser,Center,"6'11"" to 7'1""",232-260,80-85,55-70,61-75,85-91,56-80,83-85,61-80,64-84,71-85,36-49,27-33,80-85,37-72,35-73,80-85,86-97,88-98,62-73,42-62,82-92,72-83
Board-Hunting Mid-Post Bully,Center,"7'0""",246,84,59,75,90,87,81,80,78,82,47,30,82,40,37,84,94,85,70,50,91,80
Board-Hunting Paint Finisher,Center,"7'0""",241,84,80,87,86,80,80,78,68,76,56,51,80,66,36,83,92,91,65,50,84,83
Board-Hunting Pick & Popper,Center,"6'10"" to 7'4""",235-281,73-90,55-65,69-74,80-81,56-81,79-85,82-89,65-68,65-81,40-65,41-47,80-82,59-75,53-67,84-85,85-94,85-95,55-72,42-61,85-91,69-85
Board-Hunting Power Dunker,Center,"7'0""",248,84,67,87,90,75,80,78,56,82,55,58,82,56,60,74,94,87,69,57,85,77
Board-Hunting Rim Runner,Center,"7'0""",222,87,92,91,97,62,68,78,57,34,59,64,81,46,36,70,95,85,75,65,75,80
Board-Hunting Skilled Popper,Center,"7'1""",243,80,72,78,76,67,85,90,67,82,72,52,80,64,59,83,90,91,65,52,85,80
Board-Hunting Stretch Riser,Center,"7'0"" to 7'4""",233-259,75-85,55-76,62-75,88-95,61-83,72-90,77-90,58-82,71-83,31-66,25-49,80-84,37-62,35-67,74-84,85-96,86-96,60-70,41-58,80-92,70-83
Break-Starting Lob Threat,Center,"7'0""",253,84,61,74,90,61,75,78,83,87,52,28,82,62,60,84,84,94,68,55,91,82
Break-Starting Post Bully,Center,"7'0""",236,84,59,73,90,87,70,80,55,87,60,60,82,62,37,84,80,94,72,61,86,83
Break-Starting Stretch Five,Center,"6'10""",240,75,50,70,64,55,84,91,73,91,60,65,84,60,60,84,83,86,76,70,89,83
Break-Starting Stretch Riser,Center,"7'0"" to 7'4""",230-252,81-86,57-78,62-73,89-95,60-84,85-90,83-89,63-89,85-93,43-65,35-45,76-85,35-65,37-63,79-84,71-85,85-94,55-66,42-56,72-91,69-80
Bulldozing Board Enforcer,Center,"6'9""",254,79,70,87,60,55,70,80,57,70,49,50,85,70,60,75,94,92,79,72,90,70
Bulldozing Cleaner,Center,"6'9""",250,70,69,87,55,60,70,80,55,71,47,50,71,83,73,74,81,94,80,75,91,88
Bulldozing Glass Guardian,Center,"6'11""",238,75,65,85,85,73,52,32,73,81,62,63,80,64,70,88,88,89,74,65,90,86
Crafty 3-Level Board Enforcer,Center,"6'9""",284,87,84,30,25,58,92,90,67,60,44,42,99,81,54,73,95,95,69,61,80,50
Crafty 3-Level Glass Guardian,Center,"7'0"" to 7'4""",232-249,84-92,67-90,57-73,81-90,59-82,83-93,83-90,67-85,25-82,50-65,30-55,77-83,33-60,37-62,90-93,85-92,85-94,60-70,46-58,59-90,72-82
Crafty 3-Level Scorer,Center,"6'11""",253,95,82,87,89,96,88,85,93,58,69,61,63,46,68,80,80,80,61,56,68,70
Crafty 3-Level Scoring Cleaner,Center,"7'4""",230-260,87-94,70-73,55-75,92-95,87-90,83-90,83-89,71-74,62-76,57-65,38-44,82,35-62,37-55,84,65-73,85,50-62,38-47,77-83,67-73
Crafty 3-Level-Creating Eraser,Center,"6'11""",229,87,85,88,90,79,91,88,68,49,74,65,86,74,45,88,45,70,72,68,85,78
Crafty 3-Level-Diming Eraser,Center,"7'4""",230,87,66,73,90,87,90,89,82,87,40,25,84,41,46,93,63,85,62,47,79,70
Crafty 3-Level-Scoring Cleaner,Center,"7'0"" to 7'4""",230-237,87-89,64-81,73-80,81-90,85-94,88-92,86-89,67-73,76-84,64-70,44-45,76-80,60-62,32-40,81-84,70-80,85,62-70,47-58,79-86,70-77
